Node,SIR_Score,Betweenness,Closeness,K-Shell,PageRank,Eigenvector,Katz,VoteRank
9,18.121,0.022365737598409235,0.3630952380952381,4,0.017095254673197,0.14310221675120963,0.12755422074373135,15
4,11.964,0.0023737965131407756,0.30808080808080807,3,0.009627334957614968,0.07933447607445522,0.1256314048768247,0
10,10.99,0.02089438036159347,0.25206611570247933,4,0.02347021551520822,0.012220169764468436,0.12817214561614007,20
6,8.343,0.004380300179480508,0.23828125,3,0.014434748216370166,0.006572752164517534,0.12625908309866712,12
7,10.893,0.029372536747686685,0.2675438596491228,4,0.020063144455665028,0.01221198028654735,0.1275470694853295,9
11,15.332,0.016092020911693046,0.3128205128205128,4,0.015105623761720376,0.07525346435103515,0.12689362267625715,0
1,17.452,0.01908259621374376,0.3465909090909091,4,0.016962206735765765,0.12850351911087216,0.12755394582643775,3
3,10.408,0.00907281243346817,0.2824074074074074,3,0.013335733674746102,0.03975713309801053,0.12623360893733926,18
14,11.936,0.0528463284386915,0.27111111111111114,4,0.026169925979057256,0.015030415487480693,0.1288098340704767,26
15,21.455,0.06197200484885411,0.3765432098765432,4,0.032137029718865714,0.3157810764804676,0.13138509265500542,36
16,18.289,0.03329222098223321,0.3388888888888889,4,0.019878693559467992,0.16417491138339668,0.12817650564015537,22
17,18.263,0.0033047098620869104,0.32972972972972975,4,0.016623110455451107,0.20799316926734238,0.12759605296762608,0
18,12.65,0.11430016291546968,0.3096446700507614,4,0.0317411226125807,0.01753496833868235,0.12942190275557033,34
2,14.953,0.213324435532811,0.3719512195121951,4,0.024657779163893456,0.042091441435724825,0.12879392524478347,29
19,19.147,0.0148548997169549,0.3370165745856354,4,0.019390897769388352,0.20249300124247624,0.1282175895995529,2
20,10.438,0.013314394166853183,0.3160621761658031,4,0.01293094177744182,0.020682545955984944,0.1262558618658035,0
8,13.084,0.11823861926938342,0.3652694610778443,4,0.01564571966634353,0.042908020056302676,0.12688739848459066,4
21,20.041,0.10264573972090967,0.391025641025641,4,0.02463646831978113,0.18447787335323979,0.12944866349466988,33
22,18.886,0.012700653930162124,0.3333333333333333,4,0.01693497260570824,0.20734961722376985,0.12759900398465246,0
23,4.329,0.0,0.23735408560311283,1,0.005417443345758518,0.002438237539825345,0.12434929960849411,0
25,18.313,0.0073830434896008665,0.3128205128205128,4,0.016901707992051734,0.19321180983300906,0.1275924026744892,0
26,7.028,0.0016441148408361526,0.25523012552301255,3,0.011508033929094379,0.005952326426510388,0.12561176181987346,6
27,7.385,0.004362477231329691,0.2772727272727273,3,0.011213415672020617,0.008949192287688042,0.12560863755329102,0
28,10.974,0.029236860493157976,0.3160621761658031,3,0.0171355079823567,0.01632668732073103,0.12688380817541892,19
29,14.402,0.06675695466395656,0.3652694610778443,4,0.014845201153005746,0.06822697202643725,0.12690320317391457,0
30,19.736,0.06552928249649563,0.32275132275132273,4,0.026452435542402356,0.21176109464474221,0.12945200356629466,27
31,12.357,0.03305046077177225,0.32275132275132273,4,0.015302368341419285,0.04075065098782638,0.12687765723825659,23
32,4.171,0.0,0.23735408560311283,1,0.005417443345758518,0.002438237539825345,0.12434929960849411,0
33,6.113,0.03278688524590164,0.21631205673758866,2,0.013313928897279621,0.0038643437589662884,0.12560875114012107,11
34,20.646,0.057166440117259784,0.3652694610778443,4,0.028416738215896523,0.281097017160587,0.13011583547961703,21
13,5.216,0.0,0.2687224669603524,1,0.004834672050768328,0.03907586116163528,0.12435276923574204,0
35,15.526,0.032694759702956426,0.3160621761658031,3,0.01591676077236302,0.1388272511035687,0.12691962934613418,13
36,5.994,0.0,0.24497991967871485,1,0.004917509664233046,0.02943731400967758,0.12434945009027555,0
37,17.556,0.24823719602893804,0.4178082191780822,4,0.020612335397333263,0.13276550630017522,0.12817918299585196,17
24,13.089,0.04218278563875618,0.3333333333333333,3,0.009861995696270574,0.08736202260403907,0.12564714278474814,0
38,21.546,0.13856978865859435,0.39869281045751637,4,0.029868954502794764,0.3005609284704956,0.13076602884841435,30
39,18.885,0.04535223883584539,0.32972972972972975,4,0.023934211002516637,0.1966165389283655,0.12882044254763708,24
40,8.146,0.070516778539934,0.33516483516483514,2,0.007766174012190614,0.020875970745552558,0.12499021302724822,0
41,19.718,0.14314951834261747,0.40397350993377484,4,0.021963068899042957,0.20787263130203712,0.12884898336047923,25
42,11.969,0.023251600670186168,0.2975609756097561,4,0.01614465557108976,0.015262103099078316,0.12691907349807427,0
43,15.361,0.029157951944837193,0.32972972972972975,4,0.01761586423543476,0.08095068341031326,0.12751880785209455,28
44,17.874,0.06283060442896508,0.3370165745856354,4,0.02168654443551452,0.1903379603455067,0.12820458332320825,16
45,13.144,0.012037805849281259,0.3112244897959184,3,0.01282838719819995,0.0778021296401005,0.12625930172064026,0
46,21.272,0.040670440596470174,0.3465909090909091,4,0.02950713720344268,0.28500310473240437,0.13075320619753353,35
47,6.181,0.003008466942893172,0.25630252100840334,2,0.008824553336390241,0.02971624484960024,0.12496802113112514,8
48,16.012,0.0232014761195089,0.3388888888888889,4,0.017337284683481224,0.08037195763313358,0.1275281694838536,10
50,6.715,0.0009289617486338798,0.24696356275303644,2,0.008875430027408569,0.023429567002119712,0.1249616283341467,0
51,19.677,0.03341103492742837,0.3505747126436782,4,0.01922765775957274,0.21769051331081501,0.12823656893974786,1
52,18.702,0.08467725475022554,0.32972972972972975,4,0.031292342498045814,0.2106802089208981,0.1300581710233326,31
5,5.731,0.0,0.24897959183673468,1,0.005079101632863055,0.029287057142628196,0.12435248092768636,0
12,6.195,0.0,0.24897959183673468,1,0.005079101632863055,0.029287057142628196,0.12435248092768636,0
53,14.806,0.0192343448900826,0.34269662921348315,4,0.012070150637939633,0.12956359101537382,0.1262947225346292,0
54,7.351,0.0011930783242258653,0.25957446808510637,2,0.008179721210497344,0.03368665459890723,0.12497127320642386,0
55,13.253,0.09912164676351938,0.324468085106383,4,0.021659451824935498,0.023022376520473405,0.12817538285142827,14
56,9.789,0.0008774695250105086,0.27111111111111114,2,0.007492839172228222,0.052109343930712856,0.12499336342166609,0
57,5.621,0.0001366120218579235,0.21328671328671328,2,0.008329735718986276,0.002612314190108688,0.12497122084908532,0
58,12.662,0.08420468343495603,0.30198019801980197,4,0.030108941362489344,0.017401973681970627,0.12942541008144726,32
49,4.683,0.0,0.23282442748091603,1,0.005263257942261389,0.002419847393008891,0.12434931714289299,0
59,5.897,0.0,0.24897959183673468,1,0.004962247282902534,0.02733206208697856,0.1243462922884159,0
60,14.337,0.020332774690384588,0.34269662921348315,4,0.014765350940706749,0.11181865699755933,0.1269036625481827,5
61,2.679,0.0,0.1783625730994152,1,0.006192110658192512,0.0005374384753918985,0.12433023386425218,0
62,9.645,0.014194982613015397,0.30198019801980197,2,0.011037303001729701,0.05199117201156755,0.12561204459302927,7
