Node_ID,K-Shell
38,10
89,10
58,10
52,10
349,10
154,10
51,10
131,10
97,10
49,10
47,10
56,10
15,10
13,10
12,10
87,10
120,10
9,10
86,10
7,10
82,10
2,10
5,10
4,10
57,10
190,9
114,9
55,9
65,9
60,9
183,9
104,8
348,8
64,8
344,8
92,8
72,8
125,8
130,8
88,8
148,8
138,8
25,8
26,8
144,8
166,8
401,8
134,8
37,8
275,8
78,8
177,7
178,7
402,7
179,7
180,7
184,7
174,7
164,7
400,7
176,7
132,7
103,7
133,7
404,7
408,7
108,7
113,7
142,7
409,7
139,7
202,7
371,7
123,7
81,7
273,7
175,7
299,7
61,7
62,7
290,7
259,7
66,7
279,7
235,7
311,7
27,7
315,7
301,7
268,7
327,7
312,7
250,6
193,6
189,6
141,6
42,6
191,6
297,6
298,6
251,6
147,6
135,6
136,6
151,6
149,6
150,6
245,6
278,6
399,6
398,6
397,6
160,6
161,6
396,6
185,6
264,6
267,6
173,6
246,6
126,6
110,6
112,6
210,6
417,6
59,6
105,6
70,6
106,6
356,6
54,6
109,6
94,6
332,6
203,6
421,6
331,6
201,6
266,5
276,5
343,5
342,5
341,5
270,5
269,5
233,5
265,5
339,5
337,5
263,5
277,5
338,5
182,5
244,5
352,5
310,5
345,5
195,5
243,5
328,5
370,5
192,5
302,5
249,5
307,5
308,5
368,5
253,5
288,5
287,5
285,5
309,5
209,5
187,5
329,5
410,5
386,5
48,5
29,5
95,5
93,5
434,5
30,5
85,5
84,5
83,5
31,5
32,5
439,5
33,5
75,5
34,5
387,5
35,5
36,5
39,5
40,5
41,5
74,5
43,5
443,5
444,5
445,5
446,5
44,5
53,5
50,5
98,5
99,5
28,5
24,5
450,5
389,5
449,5
168,5
391,5
165,5
163,5
10,5
403,5
11,5
407,5
14,5
16,5
414,5
127,5
17,5
415,5
18,5
19,5
20,5
21,5
418,5
419,5
117,5
22,5
111,5
107,5
23,5
46,5
448,4
324,4
304,4
425,4
388,4
379,4
378,4
377,4
274,4
412,4
375,4
374,4
373,4
372,4
416,4
423,4
424,4
426,4
305,4
427,4
436,4
437,4
438,4
441,4
325,4
323,4
319,4
318,4
317,4
316,4
442,4
447,4
3,4
227,4
226,4
228,4
172,4
96,4
167,4
234,4
232,4
115,4
231,4
230,4
229,4
1,4
248,4
118,4
162,4
159,4
122,4
214,4
215,4
219,4
140,4
153,4
247,4
170,4
252,4
77,4
261,4
8,4
45,4
63,4
258,4
186,4
73,4
76,4
255,4
271,4
146,4
254,4
90,4
376,3
196,3
155,3
194,3
156,3
384,3
385,3
157,3
158,3
382,3
380,3
381,3
395,3
171,3
394,3
393,3
152,3
383,3
169,3
390,3
392,3
181,3
188,3
364,3
145,3
430,3
452,3
6,3
67,3
68,3
69,3
71,3
440,3
79,3
80,3
435,3
91,3
433,3
432,3
431,3
429,3
143,3
428,3
100,3
101,3
422,3
116,3
420,3
198,3
119,3
121,3
124,3
128,3
413,3
129,3
411,3
197,3
453,3
199,3
320,3
306,3
238,3
237,3
236,3
313,3
314,3
321,3
220,3
322,3
225,3
224,3
223,3
222,3
200,3
241,3
242,3
300,3
296,3
293,3
292,3
291,3
289,3
256,3
257,3
286,3
284,3
283,3
281,3
280,3
260,3
262,3
330,3
221,3
212,3
213,3
205,3
350,3
207,3
208,3
359,3
360,3
361,3
211,3
353,3
362,3
206,3
216,3
363,3
217,3
218,3
365,3
366,3
367,3
204,3
369,3
351,3
335,2
294,2
295,2
240,2
340,2
405,2
303,2
334,2
239,2
333,2
137,2
347,2
346,2
406,2
326,2
336,2
451,1
354,1
282,1
355,1
102,1
358,1
357,1
272,1
