Node_ID,SIR_Score
15,20.933
5,16.436
2,15.949
97,13.133
51,12.366
58,11.469
7,11.303
9,11.278
56,10.535
49,10.496
47,10.005
38,9.992
12,9.719
4,9.368
57,8.154
55,7.633
131,7.451
52,7.279
13,7.058
82,7.047
86,7.045
154,6.749
114,6.564
89,6.211
138,6.058
60,5.901
87,5.866
144,5.797
25,5.652
125,5.651
120,5.484
183,5.329
65,5.299
66,5.299
349,5.271
148,5.249
190,5.226
130,5.104
401,5.074
275,5.02
344,4.94
267,4.9
27,4.823
78,4.704
113,4.698
134,4.664
164,4.663
166,4.658
235,4.605
108,4.524
202,4.524
251,4.492
64,4.454
371,4.435
189,4.409
193,4.393
72,4.382
92,4.363
327,4.317
402,4.291
26,4.277
37,4.273
268,4.272
245,4.248
123,4.245
104,4.208
279,4.176
179,4.15
356,4.114
273,4.079
312,4.025
315,4.015
135,3.988
250,3.97
192,3.965
126,3.946
278,3.938
290,3.9
400,3.876
132,3.862
203,3.861
99,3.857
103,3.844
88,3.824
42,3.815
109,3.78
62,3.777
191,3.743
408,3.736
311,3.717
184,3.688
112,3.682
301,3.681
174,3.673
61,3.633
404,3.627
98,3.618
105,3.599
81,3.594
59,3.59
110,3.58
141,3.575
201,3.575
48,3.574
398,3.562
246,3.54
139,3.536
264,3.46
210,3.434
348,3.412
136,3.41
54,3.404
160,3.393
443,3.378
147,3.378
397,3.369
409,3.368
450,3.366
39,3.321
70,3.319
173,3.317
370,3.316
36,3.314
449,3.304
74,3.295
270,3.295
117,3.295
150,3.275
146,3.259
142,3.258
94,3.258
310,3.215
133,3.211
309,3.211
299,3.206
187,3.205
140,3.201
421,3.198
161,3.189
277,3.189
177,3.174
302,3.16
341,3.149
379,3.141
439,3.136
391,3.131
50,3.125
159,3.12
43,3.099
95,3.099
287,3.092
328,3.09
176,3.053
324,3.044
436,3.029
178,3.028
175,3.022
269,3.022
259,3.016
285,2.991
378,2.981
399,2.97
46,2.949
412,2.946
253,2.922
153,2.916
298,2.911
121,2.907
437,2.866
249,2.839
127,2.838
372,2.833
73,2.83
319,2.811
329,2.803
247,2.796
325,2.773
276,2.769
323,2.765
151,2.763
23,2.758
368,2.758
345,2.754
333,2.75
85,2.746
195,2.736
271,2.735
332,2.73
244,2.73
339,2.728
41,2.727
233,2.717
445,2.715
21,2.713
107,2.712
297,2.707
10,2.689
444,2.681
416,2.68
40,2.678
106,2.676
115,2.675
331,2.664
438,2.663
182,2.663
392,2.656
414,2.655
373,2.651
186,2.647
1,2.644
418,2.643
33,2.642
407,2.641
44,2.638
447,2.636
17,2.626
8,2.624
434,2.623
80,2.619
18,2.613
308,2.608
386,2.605
163,2.603
90,2.601
243,2.599
415,2.599
248,2.598
390,2.597
3,2.584
258,2.583
28,2.573
429,2.56
211,2.554
288,2.552
11,2.549
185,2.532
30,2.531
180,2.521
24,2.516
237,2.512
196,2.501
149,2.486
20,2.485
252,2.484
318,2.484
283,2.464
266,2.457
75,2.449
209,2.445
375,2.442
352,2.41
226,2.407
96,2.403
168,2.403
377,2.402
338,2.394
76,2.394
119,2.389
204,2.381
389,2.378
93,2.373
165,2.372
16,2.359
428,2.349
19,2.349
369,2.343
440,2.336
448,2.335
198,2.335
374,2.334
417,2.334
35,2.32
118,2.317
124,2.315
337,2.308
63,2.304
387,2.292
410,2.289
83,2.283
199,2.282
197,2.278
84,2.275
194,2.266
286,2.257
394,2.255
419,2.252
205,2.249
393,2.235
255,2.228
304,2.228
367,2.227
31,2.221
77,2.219
111,2.215
452,2.213
343,2.212
284,2.211
53,2.2
238,2.198
435,2.196
143,2.188
122,2.182
403,2.176
14,2.17
162,2.167
346,2.167
188,2.165
342,2.149
411,2.137
200,2.136
34,2.134
330,2.134
206,2.133
433,2.123
453,2.12
157,2.119
427,2.117
6,2.113
254,2.107
350,2.098
242,2.097
307,2.095
432,2.092
128,2.09
441,2.089
396,2.085
79,2.085
158,2.083
425,2.07
305,2.066
261,2.052
145,2.047
91,2.047
423,2.047
426,2.046
293,2.038
316,2.035
152,2.034
45,2.032
67,2.03
424,2.03
155,2.028
430,2.015
306,2.0
29,1.994
334,1.994
365,1.984
359,1.984
156,1.983
22,1.98
207,1.976
69,1.974
214,1.957
172,1.955
129,1.95
442,1.948
364,1.948
71,1.929
262,1.921
380,1.915
314,1.91
366,1.908
363,1.906
32,1.903
241,1.891
347,1.888
300,1.86
317,1.856
169,1.854
431,1.844
335,1.844
208,1.844
240,1.841
292,1.823
170,1.815
320,1.805
274,1.801
446,1.797
313,1.769
361,1.763
239,1.762
227,1.754
362,1.75
296,1.745
215,1.742
265,1.738
420,1.695
263,1.677
381,1.632
351,1.625
336,1.623
376,1.62
167,1.609
257,1.605
321,1.597
219,1.592
360,1.585
413,1.578
212,1.575
102,1.564
101,1.555
100,1.552
322,1.548
260,1.547
256,1.532
289,1.518
291,1.514
213,1.503
405,1.497
228,1.492
280,1.49
116,1.467
137,1.458
353,1.456
181,1.454
281,1.453
229,1.423
234,1.423
388,1.422
232,1.42
422,1.414
171,1.405
220,1.402
230,1.389
395,1.371
406,1.357
68,1.356
340,1.354
231,1.306
451,1.299
217,1.262
222,1.244
225,1.233
216,1.211
221,1.209
223,1.207
383,1.191
236,1.187
224,1.186
326,1.178
384,1.175
382,1.166
303,1.165
295,1.16
355,1.148
218,1.147
294,1.141
272,1.131
385,1.124
357,1.085
282,1.043
358,1.035
354,1.022
