Node,SIR_Score,Betweenness,Closeness,K-Shell,PageRank,Eigenvector,Katz,VoteRank
3,2.584,0.0,0.3747927031509121,4,0.0010935927230946519,0.025085928505535683,0.04560711603835106,47
1,2.644,0.0,0.3747927031509121,4,0.0010935927230946519,0.025085928505535683,0.04560711603835106,0
4,9.368,0.009760629105771397,0.47478991596638653,10,0.007765538029474529,0.12600073474805573,0.05432748583002363,240
5,16.436,0.09462754264363926,0.5458937198067633,10,0.022651586030794355,0.25300048778787004,0.07122186627708516,257
2,15.949,0.1134224353763976,0.5505481120584653,10,0.026034312514114314,0.25589835694656177,0.0742028495348223,258
6,2.113,0.0,0.32777374909354606,3,0.0009132761151282283,0.012752882412768791,0.04523716553441692,0
7,11.303,0.037890982588894596,0.4860215053763441,10,0.015687461646939647,0.15344246612452817,0.06269807385753366,255
8,2.624,0.0004885379853999985,0.4090497737556561,4,0.0013329665583323208,0.028625092072326747,0.04597293019956224,83
9,11.278,0.037890982588894596,0.4860215053763441,10,0.015687461646939647,0.15344246612452817,0.06269807385753366,254
10,2.689,0.0003304487485402151,0.40942028985507245,5,0.001320487644696992,0.02770098222738237,0.04597012915360867,121
11,2.549,0.00020449477941815314,0.35120435120435123,5,0.0014735952834475095,0.021625594894022823,0.04602791601160972,17
12,9.719,0.044285572276576174,0.49183895538628947,10,0.01174151988930454,0.13090535558625177,0.05871201416322639,250
13,7.058,0.015977552574346746,0.465979381443299,10,0.007454379740678151,0.08924296305953218,0.053518436655243855,243
14,2.17,0.00010065037680588637,0.33605947955390336,5,0.001493407918663955,0.014201129023946763,0.04592254505643059,0
15,20.933,0.47830526686331604,0.6541244573082489,10,0.0550408492627156,0.3799950453598545,0.10067315109437902,259
16,2.359,0.00033318817524329275,0.4028520499108734,5,0.0013393741934576715,0.020276532141079266,0.045864758198764774,120
17,2.626,0.0003306865919191609,0.40942028985507245,5,0.0013200445973451708,0.027701398889808625,0.04597012922083148,0
18,2.613,0.0002021243362467737,0.35120435120435123,5,0.0014705346210044387,0.02163654347677486,0.04602792946064826,99
19,2.349,0.00033318817524329275,0.4028520499108734,5,0.0013394526399394737,0.02027651627595589,0.04586475819842951,119
20,2.485,0.00033044874854021517,0.40942028985507245,5,0.0013204905119457951,0.027700982142939392,0.045970129153608645,0
21,2.713,0.00020449477941815312,0.35120435120435123,5,0.0014735957386568799,0.021625594890808068,0.04602791601160972,98
22,1.98,0.00033318817524329275,0.4028520499108734,5,0.0013394525750301737,0.02027651627598922,0.04586475819842951,118
23,2.758,0.00033044874854021517,0.40942028985507245,5,0.0013204902326457097,0.02770098214381421,0.045970129153608645,0
24,2.516,0.00020449477941815312,0.35120435120435123,5,0.001473593680535623,0.02162559491379947,0.04602791601160973,97
25,5.652,0.013689584718407994,0.4621676891615542,8,0.007245723781257186,0.06343954390384479,0.052608806640067854,246
26,4.277,0.0019395862790106974,0.4050179211469534,8,0.0028662521044549275,0.04196932364743205,0.047845021196218696,195
27,4.823,0.00743522204005169,0.4333652924256951,7,0.006651305239197573,0.04811554989279469,0.05171306502181747,244
28,2.573,0.000130332763660805,0.4032114183764496,5,0.0013145773999154776,0.021333537332684095,0.04587437076061554,29
29,1.994,0.00010047199427167706,0.33605947955390336,5,0.0014932983989426928,0.014201187318331315,0.04592254505762842,28
30,2.531,0.00033318817524329275,0.4028520499108734,5,0.0013394368624109446,0.020276518495083592,0.04586475819843538,0
31,2.221,0.0003331881752432926,0.4028520499108734,5,0.0013394526320714226,0.020276516275960544,0.04586475819842951,117
32,1.903,0.00010065037680588637,0.33605947955390336,5,0.0014934080059648195,0.014201129023824524,0.04592254505643059,0
33,2.642,0.00010065037680588639,0.33605947955390336,5,0.001493407997752541,0.01420112902382579,0.04592254505643059,0
34,2.134,0.00010065037680588637,0.33605947955390336,5,0.0014933945873102344,0.014201129627658968,0.04592254505643223,0
35,2.32,8.321849360864398e-05,0.33605947955390336,5,0.0014723683917817502,0.014488744606732539,0.04592523491810256,0
36,3.314,0.0005543273740526366,0.4165898617511521,5,0.001705484600317871,0.027832400785002293,0.04640272034295289,137
37,4.273,0.0005344530803694035,0.4506480558325025,8,0.002014032184865981,0.05346037339448435,0.047215728002196235,0
38,9.992,0.0589046026039507,0.49834619625137816,10,0.013889193659442807,0.13620235545035517,0.05995243344073691,252
39,3.321,0.0003304487485402151,0.40942028985507245,5,0.0013204905077507923,0.027700982142939565,0.045970129153608645,0
40,2.678,0.00020449477941815312,0.35120435120435123,5,0.0014735957414724289,0.02162559489080803,0.04602791601160972,96
41,2.727,4.885005242633453e-05,0.40942028985507245,5,0.0012921174643224797,0.028568453806682815,0.04597535023783641,0
42,3.815,7.985347371592208e-05,0.4181313598519889,6,0.001655019366582195,0.03689084833476642,0.04653418031165448,82
43,3.099,0.0003301411011275745,0.40942028985507245,5,0.0013161533922274441,0.027741216918041135,0.045970177215341336,0
44,2.638,0.00020477179192643352,0.35120435120435123,5,0.0014728450528018792,0.0216271264811971,0.04602791625184062,116
45,2.032,0.00013278853930652487,0.34268385140257773,4,0.0011035470637873494,0.012042495070320477,0.045417544933726454,0
46,2.949,0.0003270051025355278,0.34424980959634427,5,0.0014828122548161016,0.023159732594386494,0.046056141287350125,46
47,10.005,0.02903103599866638,0.47280334728033474,10,0.012441438191285039,0.1263781379261509,0.05889558603164459,251
48,3.574,0.00036733045597984917,0.4162062615101289,5,0.0016730455925452077,0.037616429949079724,0.04655948175575651,115
49,10.496,0.02903103599866638,0.47280334728033474,10,0.012441438191285039,0.1263781379261509,0.05889558603164459,247
50,3.125,0.00035300437193735545,0.4083107497741644,5,0.0012965310355706145,0.026848037216848128,0.045915993655511175,0
51,12.366,0.039127129044846526,0.5022222222222222,10,0.012987443465048851,0.18014156335300482,0.06066395586111684,248
52,7.279,0.01886376993489717,0.4506480558325025,10,0.007484177693469879,0.09181283985775551,0.05332269675205992,241
53,2.2,0.00010379421363860136,0.3434650455927052,5,0.0014882681528787676,0.016772914516160017,0.04591557647394518,107
54,3.404,0.0006531713393332394,0.4204651162790698,6,0.0020816768784997696,0.03886223832796671,0.04692849059201132,167
55,7.633,0.025354437691045676,0.4645426515930113,9,0.00795136688524818,0.10223388896549307,0.05391117700436434,245
56,10.535,0.07487731466349351,0.5039018952062431,10,0.013801583605220802,0.1525602737036857,0.06054913877826368,253
57,8.154,0.0034128145670171933,0.47729672650475186,10,0.005100648861043845,0.12101234030854488,0.0517183674737158,122
58,11.469,0.032733916144602235,0.49834619625137816,10,0.012902976820866115,0.170370296305493,0.05989622667009103,249
59,3.59,0.0002358052930451438,0.4224299065420561,6,0.0014248786518291459,0.03846517675425384,0.046295221582673095,0
60,5.901,0.005432783671431737,0.4529058116232465,9,0.004743422102758774,0.07226046323899998,0.05046501226098625,234
61,3.633,0.00012756740276472322,0.3695829926410466,7,0.0017922598871051934,0.03476264962391816,0.04663389657237515,16
62,3.777,0.0010299832591514286,0.39270199826238056,7,0.0022488474559179687,0.04449288312249915,0.04724633940161789,123
63,2.304,1.7758060852597285e-05,0.35395458104933436,4,0.0010569575902453433,0.018013097227964278,0.04548870784822302,0
64,4.454,0.0005023587437309624,0.42641509433962266,8,0.001996347667459286,0.04937853488654625,0.04714180629772794,45
65,5.299,0.0017703015319765695,0.4461994076999013,9,0.0032944453321485487,0.0694826139410204,0.048961814927779755,0
66,5.299,0.013177240730589814,0.4448818897637795,7,0.006495177472561336,0.059159769250230844,0.051416078084910846,242
67,2.03,0.00034709002597884796,0.34477498093058734,3,0.0012156772551300899,0.009372401593038785,0.045399702212002686,79
68,1.356,3.139532602083865e-05,0.30937713894592744,3,0.0010638023946766193,0.003247653344700559,0.04509228722569243,0
69,1.974,0.0011724336144724873,0.3985890652557319,3,0.00130431086229199,0.016907313599535498,0.045577527570306225,162
70,3.319,0.0008324785264302578,0.3788767812238055,6,0.0021471645116304134,0.031603514469016394,0.046818869731129496,179
71,1.929,0.0,0.397887323943662,3,0.0009974796211240332,0.016788389302391335,0.04535318783961072,0
72,4.382,0.0017697347058488078,0.4165898617511521,8,0.003384004760267669,0.04478364150681714,0.04832290725319638,226
73,2.83,9.325230122671404e-05,0.4090497737556561,4,0.0013202861235578488,0.02833940901494438,0.045972677088618276,0
74,3.295,0.0003841914116932044,0.41929499072356213,5,0.0016752386138994472,0.03819642494104724,0.04653893691867915,106
75,2.449,4.538659482228441e-05,0.3479599692070824,5,0.0012505550576955252,0.017726677342758786,0.04569501528414805,0
76,2.394,0.0,0.4017777777777778,4,0.0011363294356522477,0.019463022457264327,0.04563461152916983,0
77,2.219,4.067723467091636e-05,0.40213523131672596,4,0.001369361333393613,0.020500824978292607,0.045863331258939995,136
78,4.704,0.0017776545464976787,0.4296577946768061,8,0.0031653858013319007,0.053972969861114634,0.04850231498910008,145
79,2.085,0.0,0.41203281677301734,3,0.0009839638647840486,0.025010658434107318,0.04546713018173279,78
80,2.619,0.0,0.41203281677301734,3,0.0009839638647840486,0.025010658434107318,0.04546713018173279,0
81,3.594,0.002594746034484851,0.4185185185185185,7,0.0023584428860771167,0.044257130583719426,0.04728479835038916,180
82,7.047,0.0035829390921761645,0.4708333333333333,10,0.004317233726515547,0.09640432450760976,0.05039539330292611,211
83,2.283,0.00041347955174216684,0.35590551181102364,5,0.0014846069327973611,0.016366168439305294,0.0459413542827607,0
84,2.275,0.00014460842378439303,0.33605947955390336,5,0.0021676650250254587,0.01252686934903418,0.04655133550772251,223
85,2.746,0.002423633458064673,0.37355371900826445,5,0.0019637105744797823,0.02485882161777598,0.04646332833509224,143
86,7.045,0.024185662581326137,0.4645426515930113,10,0.005409010023053743,0.08517990360942698,0.05087109812642088,235
87,5.866,0.0015739956791342173,0.45336008024072216,10,0.003729155346645791,0.08436339605530131,0.04949886870359285,202
88,3.824,8.861403938150632e-05,0.4200743494423792,8,0.001780849047532231,0.041467577092663264,0.04680065610928269,0
89,6.211,0.0010707209930172835,0.4588832487309645,10,0.003083141648367756,0.08517115675234056,0.04894254613474526,2
90,2.601,8.392756661108208e-05,0.4083107497741644,4,0.0013212554485251334,0.02670933306174577,0.045916301008502004,88
91,2.047,4.905519690756039e-06,0.39649122807017545,3,0.0009425122603364739,0.017372875057235074,0.04535018239378476,0
92,4.363,0.00040458139681634166,0.43170964660936006,8,0.0022289937287764106,0.05035750427289502,0.04738305110755674,77
93,2.373,0.0002525334695836602,0.34822804314329736,5,0.002121663393098962,0.017900928750199715,0.046608352757159695,199
94,3.258,0.0004575121319295944,0.4185185185185185,6,0.00164985059286522,0.03495338885483834,0.046497207425324656,0
95,3.099,0.00047346515839095195,0.375103734439834,5,0.0014890157117714755,0.029787968385504324,0.04614875336167562,114
96,2.403,3.847466424122383e-06,0.3601593625498008,4,0.001120863765509242,0.02056394129721357,0.04556135951467824,0
97,13.133,0.07873395047905543,0.5323910482921084,10,0.022155342259412326,0.21952002152855887,0.06963424779265731,256
98,3.618,0.00016875421154295927,0.39100346020761245,5,0.0015385760153280303,0.035813672861186696,0.04622211142314082,44
99,3.857,0.010648632512850727,0.3985890652557319,5,0.0029221476926644934,0.04067767998447448,0.04718905385524576,220
100,1.552,0.0,0.3383233532934132,3,0.0010703840073517344,0.006988927730993268,0.045141736595780614,76
101,1.555,0.0,0.3383233532934132,3,0.0010703840073517344,0.006988927730993268,0.045141736595780614,0
102,1.564,0.0,0.3328424153166421,1,0.000518504771641966,0.005177072098075564,0.04468008274379864,0
103,3.844,0.006426150251628397,0.4321223709369025,7,0.002416059811531802,0.0480935311412641,0.0471406409858183,178
104,4.208,0.0006354176418555586,0.44708209693372897,8,0.0022390275315617592,0.06034803732285573,0.047481854842883114,0
105,3.599,0.000236730501428667,0.4162062615101289,6,0.001701755908123415,0.036294457995958936,0.04647671351743063,27
106,2.676,3.028185091642894e-05,0.3578780680918448,6,0.001712768565860338,0.01982047606818126,0.046147826166607016,144
107,2.712,0.0001851213259348449,0.41316270566727603,5,0.0013176449497983595,0.027809718424026197,0.04593911838661262,0
108,4.524,0.0015289308108437393,0.43419788664745435,7,0.0028612161891995048,0.06133403014369897,0.048160489555635365,212
109,3.78,0.000709970411622282,0.4256120527306968,6,0.002068265157186792,0.041591559306873596,0.04699208227053848,43
110,3.58,0.000646489790268838,0.42803030303030304,6,0.0023288296033578395,0.042534290730560226,0.04724026267992495,193
111,2.215,8.993452766386071e-06,0.35590551181102364,5,0.0013183810560119381,0.01606904368861958,0.0456777968367718,26
112,3.682,0.0008016109025741244,0.39100346020761245,6,0.0019081550231017717,0.04288026411511641,0.046752173864467124,142
113,4.698,0.0007331739306092889,0.3992932862190813,7,0.002375319711815762,0.05348305648708878,0.04754108574224782,6
114,6.564,0.00770930228859116,0.4515484515484515,9,0.0048544913737406424,0.08633035106838749,0.05067063317012665,236
115,2.675,0.00027689412921754565,0.36658556366585565,4,0.001605975257787841,0.022237420254263465,0.04601074796529739,75
116,1.467,0.0,0.3343195266272189,3,0.0009486439869986522,0.00765226025944909,0.045143897216119784,0
117,3.295,0.0,0.3850085178875639,5,0.0012204389607509067,0.03781563490079318,0.046012286493900344,0
118,2.317,0.001304307663216579,0.35901509134233517,4,0.0015442870747879062,0.0164082741664878,0.04570683027621856,187
119,2.389,0.0,0.4,3,0.0008830121134544124,0.024583733756444678,0.04543514332784059,0
120,5.484,0.0008622348269578391,0.44140625,10,0.003081391257174138,0.07510311502479419,0.048731805241800104,49
121,2.907,0.0,0.42203548085901027,3,0.0008821363053490333,0.028959299802168326,0.045526336651524106,0
122,2.182,0.00023958111740780632,0.4003542958370239,4,0.0014019576266692411,0.019682781446871408,0.04582100272827518,113
123,4.245,0.005768700686159775,0.43378119001919385,7,0.002645322368291413,0.048496251076612526,0.04750858225155849,201
124,2.315,0.0,0.3989408649602824,3,0.0009713858005545117,0.017035013450509614,0.045350333576921614,0
125,5.651,0.00036148646981752733,0.4388349514563107,8,0.002374921651670527,0.06075662719947446,0.04772898061526284,48
126,3.946,0.0007611982582638469,0.4162062615101289,6,0.00168568075828876,0.03889104703546272,0.046568532247799624,15
127,2.838,0.008868040785269168,0.34294385432473445,5,0.0018370379438168048,0.022783409931779137,0.04605326688440725,0
128,2.09,0.0,0.3989408649602824,3,0.001012727193509318,0.01735173055824759,0.045367604043973414,74
129,1.95,0.0,0.3989408649602824,3,0.001012727193509318,0.01735173055824759,0.045367604043973414,0
130,5.104,1.2214088771226718e-05,0.4384093113482056,8,0.0017580892289745223,0.055958730249798395,0.04694244336270509,0
131,7.451,0.0027987546666383444,0.45564516129032256,10,0.004792589786091892,0.1025883011821477,0.050990661632738986,221
132,3.862,0.00027730378606614253,0.3886500429922614,7,0.0015909471853041968,0.04252286297984456,0.0465316429925701,5
133,3.211,0.00013343413125727142,0.3833757421543681,7,0.0015987772443582947,0.034968846455903556,0.046424109044666526,0
134,4.664,0.0008106828599578706,0.444007858546169,8,0.0023797922693998027,0.06481843405704303,0.047817201802520186,95
135,3.988,6.763618084241308e-05,0.42803030303030304,6,0.0014528062379119027,0.04604600233873495,0.04643052822580664,0
136,3.41,9.11963160573494e-05,0.41735918744228995,6,0.0016708447221257556,0.03819507735691489,0.046492678028421275,14
