Node_ID,SIR_Score
38,21.546
15,21.455
46,21.272
34,20.646
21,20.041
30,19.736
41,19.718
51,19.677
19,19.147
22,18.886
39,18.885
52,18.702
25,18.313
16,18.289
17,18.263
9,18.121
44,17.874
37,17.556
1,17.452
48,16.012
35,15.526
43,15.361
11,15.332
2,14.953
53,14.806
29,14.402
60,14.337
55,13.253
45,13.144
24,13.089
8,13.084
58,12.662
18,12.65
31,12.357
42,11.969
4,11.964
14,11.936
10,10.99
28,10.974
7,10.893
20,10.438
3,10.408
56,9.789
62,9.645
6,8.343
40,8.146
27,7.385
54,7.351
26,7.028
50,6.715
12,6.195
47,6.181
33,6.113
36,5.994
59,5.897
5,5.731
57,5.621
13,5.216
49,4.683
23,4.329
32,4.171
61,2.679
