Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
3,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
4,1.0,0.05263157894736842,0.1111111111111111,0.0,0.25,0.0,0.5384615384615384
5,1.0,0.42857142857142855,1.0,0.0,1.0,0.0,0.5384615384615384
6,1.0,0.8181818181818182,1.0,0.1111111111111111,1.0,0.0,0.6666666666666666
7,1.0,1.0,1.0,0.42857142857142855,1.0,0.0,0.8181818181818182
8,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0
9,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
