Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.5,0.0,0.0,0.0,0.0,0.0,0.6216216216216216
3,0.4634146341463415,0.01694915254237288,0.0,0.0,0.034482758620689655,0.0,0.5
4,0.5384615384615384,0.05263157894736842,0.2765957446808511,0.0,0.30434782608695654,0.0,0.5
5,0.5384615384615384,0.1320754716981132,0.7142857142857143,0.034482758620689655,0.7142857142857143,0.0,0.3953488372093023
6,0.5384615384615384,0.2,0.6666666666666666,0.17647058823529413,0.7647058823529411,0.0,0.3953488372093023
7,0.5384615384615384,0.2,0.5384615384615384,0.3953488372093023,0.7647058823529411,0.01694915254237288,0.30434782608695654
8,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.15384615384615385,0.30434782608695654
9,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.30434782608695654
10,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.5,0.30434782608695654
11,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.5789473684210527,0.30434782608695654
12,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.5789473684210527,0.30434782608695654
13,0.5384615384615384,0.22448979591836735,0.5789473684210527,0.42857142857142855,0.7647058823529411,0.5789473684210527,0.30434782608695654
