Node_ID,K-Shell
1481,8
509,8
188,8
716,8
969,8
1147,8
546,8
892,8
436,8
1398,8
965,8
29,8
298,8
628,8
1159,7
313,7
1187,6
80,5
79,5
165,5
1202,5
1217,5
584,5
752,5
516,5
452,5
1205,5
426,5
1420,5
782,5
640,5
1249,5
402,5
605,5
221,5
315,5
1018,5
863,5
355,5
282,5
312,5
1153,5
433,5
223,5
154,5
1288,5
898,5
568,5
372,5
1331,5
361,5
1149,5
989,5
806,5
618,5
1415,5
499,5
739,5
1507,5
420,4
1165,4
123,4
999,4
858,4
1348,4
842,4
1125,4
683,4
89,4
1532,4
1468,4
764,4
129,4
918,4
6,4
1192,4
777,4
240,4
636,4
489,4
1002,4
578,4
938,4
222,4
853,4
403,4
319,4
1160,4
931,4
478,4
285,4
1578,3
397,3
849,3
160,3
317,3
1504,3
857,3
702,3
362,3
1355,3
161,3
825,3
1137,3
1549,3
508,3
1200,3
215,3
1479,3
395,3
300,3
670,3
1357,3
1435,3
1508,3
1196,3
1333,3
406,3
1178,3
1558,3
410,3
804,3
1350,3
428,3
694,3
580,3
616,3
1065,3
134,3
883,3
1416,3
1033,3
725,3
1014,3
272,3
617,3
629,3
791,3
1104,3
481,2
658,2
464,2
278,2
177,2
294,2
812,2
1560,2
1173,2
484,2
91,2
676,2
983,2
1565,2
1564,2
653,2
254,2
256,2
554,2
1547,2
1299,2
1342,2
267,2
268,2
1307,2
1417,2
1019,2
1600,2
1371,2
877,2
485,2
1016,2
528,2
978,2
1276,2
1220,2
897,2
595,2
1500,2
1060,2
1368,2
1289,2
1041,2
1182,2
1336,2
956,2
1062,2
1142,2
1392,2
986,2
1272,2
524,2
1273,2
1212,2
226,2
441,2
957,2
1413,2
1042,2
1388,2
769,2
1551,2
1466,2
427,2
310,2
1407,2
1360,2
306,2
1094,2
1556,2
261,2
196,2
242,2
672,2
1525,2
1327,2
552,2
1072,2
666,2
94,2
1528,2
1000,2
862,2
1582,2
659,2
109,2
1531,2
1495,2
95,2
1533,2
1329,2
1232,2
830,2
96,2
634,2
103,2
1505,2
1366,2
824,2
1344,2
1359,2
1494,2
773,2
1478,2
1641,2
759,2
1587,2
741,2
1458,2
1106,2
36,2
320,2
1229,2
1424,2
38,2
711,2
795,2
47,2
1518,2
1402,2
61,2
182,2
263,2
1387,2
114,2
1566,2
120,2
473,2
905,2
591,2
1361,2
1591,2
491,2
307,2
626,2
448,2
201,2
562,2
1242,2
273,2
1255,2
227,2
1208,2
1545,2
457,2
345,2
228,2
718,2
1168,2
231,2
873,2
1039,2
865,2
1335,2
1298,2
1535,2
847,2
826,2
162,2
417,2
1034,2
1278,2
1281,2
241,2
1423,2
166,2
1541,2
837,2
808,1
1204,1
977,1
926,1
147,1
92,1
1088,1
945,1
807,1
732,1
1599,1
906,1
1593,1
979,1
1347,1
1596,1
1064,1
859,1
975,1
13,1
1597,1
1592,1
1311,1
948,1
321,1
919,1
814,1
1598,1
867,1
1590,1
974,1
1369,1
84,1
745,1
813,1
843,1
803,1
2,1
1074,1
1275,1
1186,1
1306,1
1626,1
324,1
1625,1
1624,1
832,1
1623,1
1203,1
1262,1
1325,1
1619,1
1089,1
1226,1
1616,1
1214,1
1248,1
1167,1
112,1
1193,1
1321,1
724,1
992,1
4,1
1480,1
792,1
384,1
1498,1
1492,1
1469,1
1464,1
663,1
1443,1
740,1
1627,1
1432,1
1362,1
1346,1
1628,1
946,1
1032,1
681,1
1079,1
845,1
1191,1
1615,1
348,1
1114,1
159,1
253,1
1605,1
696,1
1604,1
1459,1
274,1
1154,1
1080,1
195,1
1132,1
1048,1
1603,1
1418,1
1437,1
1602,1
1017,1
1601,1
416,1
1013,1
329,1
295,1
703,1
32,1
1613,1
790,1
1176,1
1444,1
1338,1
1194,1
323,1
332,1
471,1
382,1
876,1
705,1
1488,1
224,1
1112,1
1609,1
1608,1
1607,1
1606,1
1076,1
1439,1
781,1
193,1
220,1
217,1
210,1
1544,1
1197,1
1043,1
199,1
1157,1
192,1
264,1
150,1
1022,1
495,1
1542,1
173,1
167,1
1537,1
163,1
238,1
244,1
1078,1
1546,1
1213,1
1059,1
1552,1
314,1
903,1
631,1
305,1
1550,1
297,1
284,1
1302,1
281,1
1180,1
571,1
1131,1
1111,1
1548,1
1536,1
23,1
1457,1
1513,1
1406,1
51,1
1516,1
483,1
1515,1
1061,1
1514,1
74,1
27,1
146,1
301,1
16,1
1239,1
1512,1
1511,1
652,1
15,1
104,1
58,1
63,1
1524,1
1174,1
141,1
135,1
1414,1
368,1
712,1
99,1
1021,1
1292,1
1252,1
90,1
1287,1
1530,1
88,1
1527,1
66,1
1274,1
409,1
678,1
1282,1
340,1
1568,1
1574,1
550,1
539,1
1571,1
534,1
1570,1
532,1
671,1
1128,1
341,1
334,1
394,1
1206,1
1463,1
574,1
1427,1
1567,1
506,1
1577,1
581,1
612,1
909,1
772,1
762,1
680,1
728,1
1201,1
695,1
1109,1
1583,1
1354,1
661,1
649,1
1103,1
645,1
776,1
620,1
619,1
1434,1
327,1
503,1
502,1
1397,1
966,1
106,1
423,1
422,1
542,1
623,1
407,1
556,1
1555,1
399,1
868,1
396,1
387,1
339,1
379,1
380,1
364,1
432,1
861,1
496,1
1383,1
1493,1
1140,1
265,1
1102,1
490,1
488,1
392,1
1563,1
1225,1
1562,1
1561,1
1271,1
633,1
472,1
698,1
463,1
1559,1
1642,1
