Node_ID,SIR_Score
188,61.46
509,60.521
628,58.728
29,57.967
1398,56.162
546,55.332
1147,54.896
716,53.965
969,53.877
436,52.785
965,51.41
298,50.196
1187,48.642
782,48.065
892,47.163
282,45.576
1481,45.254
312,45.222
313,43.882
1159,40.031
315,38.754
80,36.443
79,36.076
452,35.642
223,35.625
402,34.958
999,34.044
938,33.179
489,32.009
989,31.485
918,30.29
568,29.616
739,29.572
1202,29.109
403,28.678
426,28.632
478,28.295
221,28.204
397,27.778
1192,27.5
1249,27.454
863,27.23
89,26.756
683,26.643
355,25.931
1348,25.714
764,25.696
240,25.445
931,24.844
285,24.408
1350,24.022
1420,23.697
858,23.556
1435,23.082
1104,22.772
1504,22.744
1532,22.471
1149,22.435
420,22.4
725,22.382
362,21.785
319,21.7
129,21.419
6,21.331
616,21.188
702,21.136
1160,20.569
222,20.525
777,20.393
1033,20.271
1014,20.263
629,20.219
1333,19.966
160,19.949
395,19.7
670,19.539
853,19.436
1165,19.373
123,18.909
1508,18.865
618,18.713
1153,18.279
1289,18.162
580,18.157
617,18.038
1355,17.88
1106,17.709
842,17.589
1002,17.587
120,17.551
578,17.466
428,17.198
1549,17.162
1137,16.968
1220,16.696
317,16.639
636,16.036
825,15.947
433,15.863
300,15.356
1479,15.096
1416,14.852
406,14.529
694,14.465
1065,13.882
1357,13.859
1196,13.574
1578,13.498
1423,13.478
261,13.465
410,13.121
1200,13.04
1255,13.014
166,12.932
215,12.902
791,12.831
634,12.615
1368,12.575
1413,12.542
658,12.341
134,12.331
1060,12.237
16,12.131
508,11.984
1205,11.958
986,11.777
307,11.649
849,11.603
1327,11.52
1276,11.336
804,11.28
711,11.185
491,11.158
640,11.136
1388,11.018
361,10.946
1361,10.886
114,10.882
957,10.821
1427,10.805
1206,10.758
272,10.739
297,10.73
591,10.719
334,10.617
1288,10.569
254,10.527
905,10.501
1528,10.493
150,10.466
1392,10.408
167,10.396
1022,10.379
978,10.319
867,10.298
653,10.233
267,10.216
1125,10.204
528,10.16
1336,10.095
605,9.975
242,9.966
278,9.959
1128,9.936
956,9.929
1041,9.921
574,9.892
394,9.873
427,9.779
666,9.739
552,9.719
1600,9.699
432,9.62
1061,9.579
898,9.558
268,9.535
154,9.52
1598,9.486
1507,9.482
1544,9.48
495,9.474
1568,9.461
58,9.418
162,9.374
516,9.374
1157,9.333
1567,9.328
273,9.327
321,9.287
1016,9.264
1432,9.255
752,9.212
1597,9.206
1078,9.191
1566,9.156
502,9.147
99,9.138
1217,9.133
883,9.097
659,9.068
238,9.057
1488,9.049
364,9.043
1463,9.041
66,8.991
135,8.959
341,8.768
372,8.684
1551,8.544
745,8.519
472,8.518
1072,8.516
1311,8.506
165,8.463
1596,8.448
1176,8.432
1018,8.411
806,8.403
1466,8.353
1406,8.346
1560,8.316
728,8.215
1550,8.201
499,8.159
919,8.154
1182,8.139
1331,8.125
1545,8.109
857,8.053
975,7.935
1302,7.914
161,7.907
294,7.867
1415,7.835
847,7.72
1034,7.718
496,7.676
348,7.578
903,7.423
837,7.384
1444,7.32
550,7.308
1178,7.15
141,6.94
1615,6.854
906,6.842
862,6.624
1298,6.58
584,6.558
1278,6.486
1559,6.449
812,6.421
201,6.212
310,6.168
1417,6.153
897,6.048
1531,5.99
1478,5.99
620,5.933
485,5.912
1371,5.911
865,5.855
1641,5.816
1342,5.799
484,5.754
506,5.714
112,5.707
1530,5.651
1558,5.59
1287,5.586
473,5.519
1468,5.504
1518,5.313
1366,5.215
91,5.213
1094,5.204
1591,5.2
320,5.163
877,5.11
773,5.109
241,5.077
305,5.051
314,5.046
1042,4.979
868,4.816
422,4.775
762,4.753
595,4.739
556,4.723
1344,4.703
1208,4.701
1229,4.697
824,4.681
1552,4.681
1167,4.671
1335,4.657
1556,4.648
845,4.643
163,4.609
1088,4.573
1515,4.559
678,4.554
1048,4.543
769,4.539
1173,4.483
1168,4.471
1402,4.47
876,4.353
1079,4.34
332,4.334
227,4.307
681,4.221
795,4.217
1213,4.214
488,4.18
705,4.172
1541,4.164
448,4.14
1533,4.134
503,4.13
542,4.126
1059,4.123
382,4.084
992,4.059
1587,4.056
814,4.043
210,4.038
192,4.034
1525,4.016
581,3.978
1414,3.964
423,3.942
1397,3.869
1273,3.835
146,3.833
1062,3.79
626,3.775
38,3.773
1606,3.72
1601,3.7
1434,3.696
1439,3.689
792,3.622
808,3.618
471,3.579
861,3.577
1443,3.569
47,3.531
1582,3.527
945,3.526
340,3.512
490,3.506
416,3.504
441,3.434
1325,3.387
1387,3.371
966,3.336
759,3.297
1383,3.285
1500,3.271
15,3.266
1281,3.253
464,3.25
1142,3.235
220,3.234
109,3.149
1000,3.144
1494,3.096
1112,3.002
1064,2.985
571,2.951
256,2.947
1407,2.905
671,2.872
177,2.845
1194,2.797
1536,2.793
718,2.786
803,2.782
1505,2.779
323,2.778
1329,2.758
873,2.757
1360,2.724
946,2.696
1212,2.672
562,2.65
95,2.63
284,2.624
1346,2.618
1154,2.614
51,2.611
1565,2.601
1111,2.589
1542,2.581
36,2.578
1599,2.575
1424,2.571
244,2.519
1577,2.488
1232,2.487
301,2.481
380,2.471
1369,2.463
1032,2.463
457,2.457
1191,2.417
4,2.417
983,2.406
1131,2.404
1603,2.395
977,2.393
1623,2.378
534,2.371
228,2.371
1039,2.362
1548,2.361
1418,2.361
1307,2.359
1338,2.35
193,2.336
396,2.315
1109,2.281
1076,2.27
1299,2.264
1464,2.257
619,2.237
524,2.235
196,2.225
732,2.224
92,2.221
1201,2.195
1547,2.185
1613,2.174
631,2.17
1203,2.16
1564,2.158
417,2.143
1214,2.13
1593,2.116
1458,2.113
712,2.111
741,2.095
1114,2.088
1180,2.086
539,2.085
1132,2.078
1625,2.061
1592,2.06
345,2.027
1604,2.019
1204,2.011
979,2.005
1616,2.004
703,1.999
832,1.996
830,1.995
1574,1.99
1628,1.989
1019,1.972
13,1.961
807,1.949
61,1.943
661,1.936
1242,1.935
1459,1.933
1174,1.932
1272,1.914
696,1.905
554,1.904
1271,1.89
103,1.886
274,1.865
329,1.857
633,1.852
1225,1.832
147,1.818
1561,1.798
1562,1.786
1563,1.782
1624,1.769
392,1.748
1306,1.722
1514,1.717
94,1.712
1197,1.71
1469,1.71
813,1.708
327,1.708
859,1.703
264,1.701
772,1.692
253,1.681
790,1.681
1359,1.673
96,1.672
740,1.665
159,1.65
32,1.645
63,1.643
1252,1.632
652,1.622
1013,1.617
481,1.605
1495,1.6
843,1.6
1239,1.595
281,1.588
306,1.588
623,1.58
295,1.579
1537,1.571
672,1.559
231,1.557
27,1.547
1555,1.542
776,1.538
1570,1.538
1605,1.538
676,1.534
826,1.533
1282,1.526
226,1.518
88,1.514
1140,1.494
106,1.488
1571,1.458
1535,1.457
195,1.457
1292,1.456
1262,1.448
265,1.447
1493,1.446
1516,1.445
909,1.436
263,1.431
90,1.429
1043,1.421
23,1.421
1642,1.418
695,1.413
182,1.412
1021,1.411
1512,1.399
532,1.396
724,1.388
368,1.366
1583,1.365
1513,1.365
379,1.363
2,1.362
698,1.352
645,1.352
1480,1.344
926,1.344
387,1.339
173,1.338
483,1.333
339,1.324
663,1.321
1627,1.32
1248,1.301
1102,1.297
1362,1.283
1321,1.28
1546,1.279
1186,1.276
1437,1.271
948,1.267
1074,1.261
1609,1.261
1492,1.258
1619,1.251
1608,1.247
781,1.242
1498,1.241
680,1.239
199,1.226
1511,1.222
1226,1.221
399,1.221
974,1.22
409,1.218
1017,1.213
1524,1.213
217,1.212
463,1.211
224,1.21
84,1.209
1590,1.207
1274,1.203
1193,1.199
1080,1.199
1602,1.196
74,1.195
384,1.189
1354,1.186
1626,1.185
1457,1.185
1527,1.185
1347,1.184
649,1.183
1607,1.179
324,1.172
1275,1.169
1103,1.168
104,1.168
1089,1.158
612,1.157
407,1.153
