Node,SIR_Score,Betweenness,Closeness,K-Shell,PageRank,Eigenvector,Katz,VoteRank
2,1.362,0.0032840722495894913,0.1698744769874477,1,0.001692761897190867,0.00011593533543013065,0.04010127500727353,126
966,3.336,0.006557341629936912,0.20443101711983888,1,0.0014743513903552367,0.0016595085679582933,0.040102609084513706,34
104,1.168,0.0,0.14524207011686144,1,0.0009658579422322756,8.060096347249351e-06,0.039901759545489135,0
6,21.331,0.006615601857397698,0.24857142857142858,4,0.0018024512867821929,0.033930603868764286,0.04078420226130641,0
1192,27.5,0.0035597909642151163,0.2544922691182616,4,0.0019654912680563265,0.036269978693340116,0.04100126540938105,33
15,3.266,0.013103880390631753,0.1880790611488573,1,0.003579179327221217,0.0004500997949732125,0.040704965825182716,179
652,1.622,0.0,0.15834633385335414,1,0.0008566719332667864,3.12945478251052e-05,0.03990477799802164,0
883,9.097,0.040202970190815854,0.23085670962850643,3,0.003548445615118546,0.006348559331964144,0.041123424566915964,194
1511,1.222,0.0,0.15834633385335414,1,0.0008566719332667864,3.12945478251052e-05,0.03990477799802164,0
1512,1.399,0.0,0.15834633385335414,1,0.0008566719332667864,3.12945478251052e-05,0.03990477799802164,0
1239,1.595,0.0,0.15834633385335414,1,0.0008566719332667864,3.12945478251052e-05,0.03990477799802164,0
16,12.131,0.0032840722495894913,0.25598991172761665,1,0.0012188148415342975,0.02375296196807463,0.040168921547127555,71
301,2.481,0.0,0.20388349514563106,1,0.0007639980731420711,0.001651409328334651,0.03990209769706696,0
509,60.521,0.42546171087619483,0.34348561759729274,8,0.025516609264664945,0.3399955051647675,0.05363182841792816,227
27,1.547,0.009830611010284332,0.1499630632849052,1,0.002397489282482378,8.968280868816153e-06,0.040301799802205676,159
1513,1.365,0.0032840722495894913,0.13049067923719734,1,0.0017774027910898928,6.265077009043046e-07,0.040102270992363694,70
74,1.195,0.0,0.13043478260869565,1,0.0009259821917823089,6.234800380215652e-07,0.03990276216974543,0
1514,1.717,0.01307147178290554,0.17606244579358196,1,0.0014374737359854862,0.00012774883597669868,0.040104293216759936,0
29,57.967,0.06118975842800586,0.3001478560867422,8,0.008279684786541432,0.251442045070657,0.04533037157209774,215
965,51.41,0.026357881857049868,0.28685821950070656,8,0.007142858337309599,0.17811479851742876,0.044014638719514255,206
