Node_ID,K-Shell
137,29
170,29
167,29
174,29
173,29
149,29
150,29
172,29
171,29
101,29
7,29
169,29
128,29
133,29
168,29
152,29
164,29
165,29
121,29
166,29
23,29
12,29
13,29
14,29
4,29
15,29
18,29
19,29
20,29
21,29
118,21
54,21
28,21
27,21
75,21
76,21
117,21
80,21
84,21
83,21
155,21
100,21
102,21
103,21
105,21
107,21
119,21
111,21
116,21
109,21
87,21
74,21
67,21
88,21
114,21
24,21
97,21
96,21
95,21
122,21
112,21
123,21
124,21
125,21
55,21
10,21
93,21
160,21
90,21
159,21
89,21
11,21
86,21
138,20
48,20
26,20
85,20
140,20
139,20
91,20
104,20
98,20
110,20
81,20
153,20
106,20
108,20
94,19
158,19
113,19
1,18
6,18
16,18
8,18
9,18
2,18
3,18
36,17
42,17
37,17
73,17
154,17
33,17
32,17
47,17
70,17
35,17
51,17
194,17
52,17
31,17
60,17
61,17
66,17
68,17
156,17
38,17
39,17
40,17
41,17
43,17
44,17
45,17
62,17
46,17
120,17
56,17
34,16
82,16
71,16
57,15
148,15
59,15
64,15
63,15
129,15
136,15
130,15
17,15
69,15
135,15
179,15
65,15
126,15
53,15
58,15
189,15
177,14
161,14
178,14
131,14
115,14
99,13
134,13
127,13
144,13
50,13
132,12
193,12
5,11
157,11
176,11
187,11
72,11
192,10
22,10
92,9
146,8
147,8
188,8
175,8
145,8
185,7
186,7
191,6
183,6
184,6
30,4
29,4
181,4
180,4
142,4
141,4
143,4
25,3
163,3
190,3
182,3
77,2
196,2
151,2
78,2
79,2
197,1
198,1
49,1
162,1
195,1
