Node_ID,SIR_Score
7,61.493
67,59.639
20,58.784
23,57.292
19,53.948
18,53.372
80,53.265
90,53.252
13,53.133
109,52.973
74,51.614
89,50.977
93,50.808
101,50.762
117,50.43
12,49.979
112,49.397
111,48.671
125,48.507
14,48.283
15,47.479
149,47.32
114,47.287
121,47.084
133,46.428
27,45.415
119,45.403
24,44.973
4,44.685
164,44.388
75,44.271
21,44.257
11,44.049
137,43.807
10,43.588
165,43.584
100,43.58
84,43.072
54,42.889
155,42.49
122,42.488
172,42.482
168,42.442
128,42.21
97,41.799
55,41.496
76,41.463
28,41.421
123,40.824
171,40.229
150,40.192
173,39.82
105,39.543
174,39.511
70,39.377
139,39.249
152,39.2
167,39.172
166,39.076
169,38.788
170,38.484
62,38.395
86,38.272
102,38.222
107,36.979
118,36.75
87,36.616
96,36.567
159,36.51
116,36.507
88,36.318
154,36.017
95,35.464
124,35.137
103,34.822
110,34.703
35,34.585
83,34.57
160,34.316
81,33.86
91,33.474
98,32.66
3,32.374
153,32.359
104,30.993
66,30.933
2,30.741
94,30.71
108,30.481
85,30.431
56,30.085
31,29.989
9,29.814
106,29.474
48,29.411
32,28.93
158,28.903
42,28.723
26,28.614
61,28.563
6,28.508
60,28.5
16,27.671
82,27.516
148,27.487
33,27.472
138,27.442
1,27.084
140,26.824
68,26.604
113,26.46
47,25.942
179,25.235
52,24.611
120,24.533
8,24.442
37,24.212
194,23.949
38,23.724
17,22.974
41,22.95
131,22.794
73,22.536
177,22.312
136,21.982
178,21.384
189,21.381
46,21.295
126,21.252
135,20.871
129,20.797
115,20.493
51,20.488
156,20.447
44,20.219
193,20.2
59,20.047
63,19.932
45,19.84
36,19.695
144,19.386
134,19.287
99,18.989
57,18.905
130,18.879
43,18.709
69,18.526
39,18.38
65,18.175
187,17.513
53,17.265
58,17.206
127,16.831
5,16.285
176,16.089
64,16.07
157,15.746
132,15.303
192,15.29
40,15.281
71,14.785
50,14.651
92,14.134
72,13.683
22,13.376
188,13.146
161,13.12
34,12.383
191,11.14
147,10.437
145,10.311
175,9.558
185,9.521
186,9.447
146,9.115
184,7.13
163,6.375
183,6.266
141,5.708
25,5.209
151,4.879
30,4.615
181,4.534
29,3.827
142,3.753
180,3.694
197,3.194
196,3.06
190,2.979
143,2.956
49,2.103
182,2.033
198,1.905
195,1.469
79,1.356
162,1.185
78,1.174
77,1.161
