Node_ID,K-Shell
300,10
298,10
49,10
345,10
63,10
65,10
67,10
68,10
294,10
32,10
102,10
103,10
231,10
3,10
167,10
187,10
351,10
193,10
6,10
4,10
7,10
8,10
11,10
16,10
18,10
363,9
117,9
314,9
70,9
174,9
24,9
120,8
246,8
347,8
297,8
171,8
71,8
350,8
249,8
155,8
181,8
333,8
220,8
225,8
230,8
2,8
31,8
365,8
366,8
140,8
281,8
172,7
92,7
91,7
185,7
204,7
169,7
391,7
284,7
286,7
285,7
19,7
278,7
277,7
205,7
206,7
176,7
121,7
207,7
209,7
210,7
159,7
211,7
213,7
386,7
329,7
90,7
331,7
332,7
55,7
425,7
64,7
14,7
13,7
69,7
72,7
177,7
12,7
348,7
34,7
40,7
35,7
407,6
57,6
56,6
54,6
349,6
367,6
232,6
52,6
51,6
222,6
223,6
212,6
353,6
39,6
130,6
248,6
116,6
198,6
221,6
236,6
241,6
30,6
275,6
165,6
170,6
326,6
325,6
319,6
27,6
312,6
311,6
310,6
33,6
340,6
184,6
114,6
191,6
295,6
166,6
60,6
29,6
62,6
292,6
168,6
293,6
194,5
202,5
201,5
227,5
196,5
197,5
203,5
226,5
428,5
405,5
229,5
235,5
307,5
308,5
309,5
315,5
327,5
330,5
335,5
344,5
356,5
357,5
358,5
361,5
362,5
368,5
370,5
371,5
388,5
296,5
426,5
427,5
257,5
238,5
239,5
242,5
244,5
247,5
250,5
254,5
258,5
290,5
259,5
260,5
261,5
262,5
263,5
268,5
287,5
1,5
228,5
111,5
15,5
93,5
137,5
138,5
89,5
139,5
141,5
10,5
135,5
113,5
143,5
88,5
5,5
87,5
86,5
136,5
94,5
84,5
125,5
28,5
106,5
104,5
100,5
123,5
124,5
126,5
134,5
17,5
95,5
128,5
131,5
132,5
133,5
85,5
142,5
83,5
156,5
26,5
25,5
175,5
173,5
53,5
58,5
59,5
66,5
178,5
112,5
81,5
82,5
23,5
153,5
44,4
373,4
101,4
394,4
105,4
289,4
288,4
354,4
364,4
412,4
283,4
282,4
413,4
414,4
38,4
46,4
337,4
99,4
404,4
339,4
74,4
61,4
384,4
75,4
50,4
48,4
383,4
301,4
189,4
352,4
299,4
96,4
97,4
47,4
37,4
224,4
252,4
129,4
199,4
200,4
164,4
243,4
240,4
237,4
163,4
441,4
430,4
148,4
149,4
150,4
151,4
152,4
431,4
214,4
219,4
215,4
251,4
179,4
253,4
264,4
192,4
188,4
115,4
127,4
267,4
266,4
265,4
218,4
119,4
255,4
122,4
442,4
118,4
374,3
372,3
375,3
369,3
382,3
434,3
381,3
448,3
447,3
377,3
380,3
379,3
435,3
437,3
376,3
444,3
443,3
440,3
433,3
438,3
416,3
432,3
385,3
418,3
415,3
419,3
420,3
421,3
422,3
410,3
409,3
408,3
423,3
406,3
20,3
424,3
403,3
402,3
9,3
429,3
401,3
400,3
399,3
398,3
397,3
417,3
396,3
395,3
393,3
392,3
390,3
389,3
190,3
321,3
306,3
273,3
182,3
180,3
302,3
98,3
291,3
107,3
162,3
41,3
109,3
208,3
280,3
279,3
276,3
274,3
272,3
313,3
161,3
160,3
256,3
245,3
234,3
233,3
144,3
145,3
146,3
147,3
154,3
217,3
216,3
157,3
305,3
158,3
334,3
77,3
355,3
346,3
343,3
186,3
342,3
341,3
73,3
338,3
336,3
43,3
316,3
76,3
195,3
42,3
78,3
79,3
183,3
328,3
80,3
324,3
323,3
322,3
320,3
318,3
317,3
45,3
451,2
436,2
450,2
439,2
446,2
36,2
411,2
269,2
378,2
271,2
110,2
360,2
359,2
21,2
270,2
22,2
452,1
449,1
445,1
387,1
304,1
303,1
108,1
453,1
