Node_ID,SIR_Score
3,21.072
16,15.572
11,15.465
18,14.533
65,11.527
68,11.361
6,11.255
4,10.515
67,10.481
7,10.07
32,9.9
8,9.657
103,9.602
193,8.504
187,8.183
117,7.453
167,7.443
345,7.354
102,7.297
63,7.239
49,6.721
174,6.708
298,6.513
246,6.358
300,6.339
24,6.171
294,5.998
70,5.94
71,5.856
231,5.786
120,5.67
297,5.666
31,5.574
314,5.484
121,5.427
206,5.342
351,5.323
363,5.243
181,5.24
155,5.16
365,4.989
140,4.987
14,4.97
333,4.885
19,4.773
177,4.757
169,4.735
55,4.664
230,4.626
347,4.606
92,4.546
281,4.511
249,4.488
220,4.487
57,4.473
2,4.459
225,4.433
198,4.38
286,4.358
285,4.34
236,4.332
72,4.313
332,4.218
13,4.19
30,4.154
171,4.131
40,4.105
172,4.092
331,4.053
35,4.021
56,4.01
277,4.005
391,3.976
69,3.976
315,3.943
425,3.892
310,3.892
325,3.891
329,3.89
1,3.85
350,3.804
293,3.79
207,3.782
407,3.775
340,3.76
116,3.743
29,3.729
222,3.723
185,3.711
165,3.664
366,3.649
130,3.637
10,3.631
60,3.623
62,3.62
311,3.601
34,3.585
106,3.579
326,3.561
90,3.549
319,3.534
54,3.531
335,3.513
176,3.504
12,3.498
348,3.485
275,3.474
307,3.466
93,3.464
159,3.461
284,3.448
346,3.444
191,3.442
173,3.438
17,3.437
312,3.436
327,3.427
166,3.388
330,3.384
178,3.354
226,3.35
123,3.33
184,3.312
204,3.257
344,3.251
232,3.239
428,3.225
290,3.216
278,3.206
168,3.201
405,3.197
211,3.195
263,3.195
113,3.193
254,3.187
64,3.185
212,3.179
241,3.174
248,3.171
223,3.166
386,3.158
205,3.154
188,3.146
413,3.14
126,3.113
213,3.108
114,3.106
96,3.105
135,3.086
52,3.08
384,3.048
237,3.044
295,3.036
179,3.034
27,3.03
308,3.028
287,3.02
33,3.016
292,3.015
111,3.008
200,3.003
383,2.999
210,2.974
91,2.932
349,2.919
142,2.918
209,2.912
196,2.903
87,2.898
182,2.89
153,2.886
299,2.885
131,2.885
364,2.876
352,2.872
199,2.864
81,2.845
414,2.844
197,2.838
66,2.832
134,2.821
268,2.798
243,2.793
265,2.784
104,2.778
247,2.773
5,2.764
48,2.764
388,2.749
139,2.736
339,2.734
389,2.728
141,2.722
112,2.721
429,2.698
301,2.697
101,2.694
15,2.69
412,2.684
86,2.684
23,2.683
95,2.68
427,2.678
122,2.677
221,2.675
371,2.637
183,2.627
82,2.62
83,2.619
170,2.617
84,2.617
283,2.615
337,2.612
252,2.598
89,2.591
393,2.581
97,2.581
128,2.576
357,2.574
267,2.562
253,2.56
53,2.558
251,2.532
94,2.506
244,2.505
9,2.5
25,2.491
118,2.488
228,2.482
39,2.479
59,2.477
239,2.477
143,2.467
227,2.466
424,2.461
404,2.451
353,2.449
51,2.444
132,2.429
334,2.424
356,2.4
133,2.4
219,2.396
105,2.395
215,2.384
138,2.383
245,2.368
258,2.364
376,2.363
125,2.358
137,2.358
400,2.356
430,2.355
266,2.348
367,2.344
409,2.332
175,2.331
260,2.331
163,2.33
410,2.327
361,2.323
224,2.321
336,2.32
282,2.316
129,2.315
238,2.314
323,2.298
100,2.297
229,2.294
99,2.291
309,2.287
390,2.287
415,2.284
58,2.281
85,2.28
127,2.277
270,2.275
250,2.273
194,2.273
202,2.272
398,2.268
318,2.255
370,2.247
324,2.239
109,2.238
343,2.236
261,2.235
322,2.229
341,2.217
338,2.216
316,2.216
88,2.215
189,2.213
313,2.206
242,2.206
408,2.198
151,2.194
419,2.192
257,2.191
262,2.184
274,2.184
397,2.176
136,2.175
394,2.168
368,2.156
406,2.152
328,2.142
203,2.141
192,2.14
22,2.133
395,2.121
235,2.115
124,2.114
362,2.112
306,2.111
433,2.106
156,2.097
119,2.081
21,2.075
296,2.074
186,2.065
399,2.064
154,2.059
381,2.054
233,2.053
420,2.043
289,2.039
422,2.017
426,2.016
38,2.014
150,2.011
417,2.004
107,2.003
305,1.979
432,1.976
218,1.969
147,1.965
320,1.959
358,1.955
264,1.954
342,1.952
259,1.948
37,1.947
214,1.947
152,1.946
378,1.938
431,1.934
403,1.934
438,1.932
302,1.932
317,1.93
380,1.93
379,1.926
195,1.925
146,1.921
269,1.908
180,1.906
321,1.906
272,1.9
148,1.894
201,1.889
234,1.888
145,1.886
440,1.881
396,1.877
149,1.871
401,1.86
437,1.86
416,1.859
373,1.855
418,1.853
98,1.853
144,1.85
392,1.841
369,1.828
423,1.826
26,1.816
255,1.815
115,1.802
372,1.799
355,1.77
411,1.762
276,1.761
158,1.752
402,1.722
75,1.715
28,1.701
44,1.7
421,1.7
382,1.697
377,1.677
190,1.669
375,1.669
280,1.666
256,1.659
288,1.656
61,1.649
157,1.641
164,1.63
271,1.591
448,1.58
217,1.568
374,1.566
354,1.563
216,1.546
360,1.523
444,1.512
442,1.506
385,1.474
359,1.473
441,1.455
74,1.446
50,1.438
47,1.429
439,1.425
291,1.42
76,1.406
240,1.404
447,1.396
434,1.382
46,1.374
435,1.367
20,1.363
443,1.36
208,1.342
36,1.341
273,1.34
436,1.297
42,1.279
43,1.274
449,1.226
78,1.21
77,1.203
45,1.202
79,1.201
41,1.197
161,1.197
73,1.192
80,1.19
387,1.19
110,1.182
108,1.181
162,1.18
451,1.169
160,1.166
450,1.155
304,1.146
279,1.141
446,1.14
445,1.111
452,1.043
303,1.04
453,1.039
