Node_ID,SIR_Score
3,21.118
16,15.808
11,14.812
18,13.912
65,12.278
68,11.598
6,11.341
67,11.171
4,10.972
32,10.444
8,9.9
193,9.765
7,9.732
103,9.7
187,8.242
117,8.223
63,7.87
167,7.448
102,7.316
345,6.862
49,6.774
298,6.654
300,6.621
174,6.581
24,6.256
294,6.096
231,6.077
206,5.996
71,5.904
314,5.86
246,5.736
120,5.658
70,5.475
121,5.377
351,5.345
363,5.288
347,5.043
177,5.023
297,5.017
155,4.972
281,4.903
140,4.9
31,4.875
220,4.866
14,4.836
55,4.77
19,4.678
286,4.623
365,4.602
285,4.577
230,4.468
92,4.439
225,4.353
391,4.328
249,4.318
172,4.304
333,4.304
13,4.303
30,4.285
2,4.234
329,4.22
198,4.207
57,4.199
40,4.169
56,4.155
236,4.14
29,4.128
310,4.106
159,4.091
72,4.081
106,4.077
331,4.023
191,3.998
12,3.975
350,3.974
171,3.969
54,3.944
169,3.936
35,3.853
181,3.831
311,3.816
332,3.798
207,3.792
176,3.729
319,3.721
366,3.71
290,3.703
185,3.664
116,3.648
425,3.638
407,3.626
293,3.621
62,3.618
90,3.61
284,3.606
34,3.601
91,3.593
178,3.585
325,3.582
226,3.549
326,3.525
184,3.518
114,3.511
52,3.487
327,3.48
222,3.469
340,3.456
69,3.455
330,3.444
166,3.443
173,3.431
223,3.419
113,3.393
386,3.389
64,3.342
210,3.342
275,3.338
130,3.337
232,3.335
212,3.334
277,3.313
344,3.306
188,3.304
93,3.29
165,3.282
1,3.281
241,3.253
348,3.251
104,3.249
209,3.215
237,3.203
27,3.197
315,3.187
211,3.162
388,3.146
299,3.145
312,3.141
60,3.133
81,3.127
295,3.115
205,3.106
364,3.091
131,3.085
404,3.079
267,3.068
137,3.068
213,3.061
278,3.058
126,3.056
357,3.034
349,3.028
96,3.026
383,3.015
307,3.014
168,3.008
263,2.988
244,2.977
95,2.973
204,2.966
66,2.963
87,2.959
248,2.939
94,2.938
266,2.933
123,2.93
352,2.929
86,2.919
196,2.917
17,2.917
101,2.916
183,2.897
254,2.892
335,2.883
268,2.882
200,2.868
252,2.861
33,2.85
221,2.848
89,2.815
292,2.815
346,2.812
253,2.81
405,2.809
339,2.803
413,2.784
51,2.783
111,2.783
428,2.782
133,2.773
135,2.77
197,2.765
301,2.747
393,2.722
10,2.714
175,2.708
251,2.699
139,2.694
39,2.691
371,2.681
15,2.672
194,2.67
265,2.668
389,2.665
88,2.665
287,2.642
59,2.641
142,2.631
309,2.623
229,2.622
361,2.621
376,2.62
189,2.619
128,2.615
412,2.604
82,2.598
5,2.591
243,2.583
118,2.583
283,2.58
154,2.579
153,2.57
122,2.567
239,2.565
426,2.562
23,2.561
141,2.561
270,2.557
53,2.547
308,2.539
424,2.538
179,2.519
228,2.518
84,2.498
367,2.496
132,2.482
414,2.475
138,2.468
260,2.466
384,2.466
429,2.465
250,2.465
182,2.46
143,2.46
245,2.459
430,2.456
394,2.448
125,2.448
247,2.447
224,2.444
134,2.44
390,2.433
356,2.431
320,2.422
199,2.415
83,2.406
127,2.398
334,2.394
415,2.382
259,2.382
409,2.374
99,2.374
9,2.365
112,2.363
100,2.363
151,2.352
316,2.35
343,2.345
238,2.343
105,2.343
227,2.337
262,2.332
129,2.329
410,2.327
318,2.32
48,2.313
192,2.312
337,2.31
150,2.306
242,2.305
170,2.3
148,2.296
353,2.285
370,2.262
282,2.257
98,2.257
25,2.254
321,2.251
219,2.249
395,2.241
427,2.237
163,2.235
58,2.232
218,2.229
322,2.229
341,2.22
85,2.218
97,2.216
358,2.212
257,2.211
408,2.211
107,2.21
313,2.209
317,2.201
272,2.201
235,2.2
215,2.195
264,2.192
109,2.19
342,2.188
440,2.174
156,2.168
399,2.166
324,2.162
186,2.157
431,2.156
119,2.152
433,2.15
338,2.131
418,2.129
420,2.127
136,2.125
152,2.124
261,2.123
402,2.117
401,2.116
372,2.114
124,2.109
392,2.105
323,2.089
362,2.076
258,2.074
406,2.072
145,2.07
203,2.056
419,2.052
422,2.049
368,2.044
296,2.031
328,2.029
397,2.029
202,2.024
336,2.019
377,2.018
255,2.007
269,2.002
38,1.994
305,1.992
400,1.969
201,1.963
274,1.959
144,1.953
147,1.95
115,1.939
26,1.937
149,1.936
146,1.932
416,1.905
396,1.903
302,1.903
382,1.903
271,1.902
180,1.901
417,1.895
398,1.891
195,1.888
37,1.881
411,1.881
438,1.877
289,1.875
373,1.866
421,1.861
381,1.854
380,1.843
164,1.843
378,1.837
355,1.827
44,1.823
432,1.816
437,1.812
423,1.795
306,1.779
288,1.77
234,1.758
22,1.745
379,1.724
28,1.714
61,1.703
214,1.701
233,1.698
190,1.698
158,1.694
21,1.669
276,1.66
403,1.657
256,1.627
280,1.589
375,1.584
447,1.571
448,1.57
74,1.566
442,1.566
75,1.559
385,1.552
449,1.518
216,1.515
354,1.513
157,1.497
441,1.488
439,1.486
444,1.484
217,1.467
50,1.46
359,1.455
240,1.452
360,1.441
434,1.437
208,1.422
374,1.418
443,1.41
369,1.405
46,1.403
273,1.383
435,1.376
20,1.36
436,1.359
76,1.358
291,1.339
47,1.315
446,1.282
42,1.267
43,1.263
80,1.244
161,1.23
162,1.222
41,1.217
36,1.211
451,1.203
79,1.199
77,1.199
108,1.196
78,1.192
73,1.186
45,1.184
160,1.163
110,1.163
387,1.144
279,1.13
450,1.117
445,1.084
304,1.082
453,1.065
303,1.034
452,1.033
