Node,SIR_Score,Betweenness,Closeness,K-Shell,PageRank,Eigenvector,Katz,VoteRank
1,3.85,0.000754224873349604,0.41582336706531736,5,0.0015048121463412034,0.03656406146069321,0.04633092117346346,15
3,21.072,0.47833177092934104,0.6541244573082489,10,0.05506777464599664,0.37998981894809003,0.10067308464345683,258
4,10.515,0.03790538141331738,0.4860215053763441,10,0.01570644437583704,0.153318229323197,0.06269714165654426,254
5,2.764,0.008868040785269166,0.34294385432473445,5,0.0018474578219312217,0.022679074987990894,0.04605311890042596,0
6,11.255,0.03790538141331738,0.4860215053763441,10,0.01570644437583704,0.153318229323197,0.06269714165654426,253
7,10.07,0.029045926601637052,0.47280334728033474,10,0.012459542633898982,0.1262440528442942,0.058894560523804734,250
8,9.657,0.029045926601637052,0.47280334728033474,10,0.012459542633898982,0.1262440528442942,0.058894560523804734,246
9,2.5,0.0,0.4124087591240876,3,0.0009296266333123301,0.02521039536727275,0.045471826519135936,0
10,3.631,0.0002637490064476267,0.4181313598519889,5,0.0015828068640075315,0.030108308188098235,0.04619516034053355,75
11,15.465,0.09461617924675671,0.5458937198067633,10,0.022660034280206853,0.253049085726096,0.07122230269777816,256
12,3.498,0.0009421813661665712,0.39066551426101986,7,0.0022774061199977414,0.03878315130848398,0.04716637613776171,96
13,4.19,0.010412921070726399,0.4312977099236641,7,0.00374834447367445,0.04273198859529006,0.04838194071595731,226
14,4.97,0.017352192195899344,0.44227005870841485,7,0.005138893385680019,0.0522141887284296,0.0498418353892906,238
15,2.69,0.0009566808582052015,0.3659919028340081,5,0.0015981975278198913,0.023023455482301964,0.04604995146953673,74
16,15.572,0.11342442798791015,0.5505481120584653,10,0.026041010120733704,0.25604925032516157,0.07420457102522238,257
17,3.437,0.0004465991903316684,0.42401500938086306,5,0.001621791818705373,0.03542570683298151,0.04629241761342086,174
18,14.533,0.07873545547897018,0.5323910482921084,10,0.022161000193789752,0.2196484638625725,0.06963586259476215,255
19,4.773,0.009135429339957315,0.40070921985815605,7,0.005181580264447345,0.04746134003197796,0.05009670112854513,236
20,1.363,0.0,0.3183098591549296,3,0.0009614012306329376,0.004304233657229263,0.04510401794176483,0
21,2.075,0.0,0.39614373356704646,2,0.0009196073166531703,0.015016636327223085,0.04511029123603122,89
22,2.133,0.0,0.39614373356704646,2,0.0009196073166531703,0.015016636327223085,0.04511029123603122,0
23,2.683,0.0005845357475354726,0.4185185185185185,5,0.001544077025462095,0.026157966128487573,0.046148045831298716,135
24,6.171,0.005432828267065291,0.4529058116232465,9,0.004744867734109229,0.07229204549061428,0.050466189739650114,233
25,2.491,0.00019013790644975694,0.35930047694753575,5,0.0015226405986289967,0.01412222225481795,0.04590279216870789,0
26,1.816,8.113573837726655e-06,0.31943462897526503,5,0.0013302887499491909,0.006832561638178433,0.045571435423146775,0
27,3.03,0.001522555540963826,0.3717105263157895,6,0.0020990493659595252,0.029782890974970153,0.04679036655281341,173
28,1.701,8.841679003988352e-05,0.32611832611832614,5,0.0015499009667159385,0.00749242615662471,0.04580012794652921,106
29,3.729,0.003517751997878658,0.4296577946768061,6,0.0025633669003282226,0.04359135406901597,0.04750825113157246,215
30,4.154,0.0037604733929420733,0.4329501915708812,6,0.0027119466884976966,0.051392545379391134,0.04781667076668452,204
31,5.574,0.0013101882890012208,0.4101633393829401,8,0.0026208335232459907,0.058925314884921115,0.047830127192829815,45
32,9.9,0.058905064681292536,0.49834619625137816,10,0.013892491027948605,0.13627537050433108,0.05995382783005585,251
33,3.016,0.0017727568320611926,0.36807817589576547,6,0.0017519335870245375,0.027927091381719612,0.04632035182084107,98
34,3.585,0.00088954397687718,0.3698854337152209,7,0.002014681271503961,0.03112131127662169,0.04684962326790481,0
35,4.021,0.0008861266451306673,0.39649122807017545,7,0.0020912442791471858,0.043892129151259375,0.047024881852019605,168
36,1.341,0.0,0.293888166449935,2,0.000735240682960834,0.0028660674177131873,0.044863460319610124,0
37,1.947,0.0,0.35901509134233517,4,0.0011385262192844389,0.013610496007187755,0.04545034560541861,44
38,2.014,0.0,0.35901509134233517,4,0.0011385262192844389,0.013610496007187755,0.04545034560541861,0
39,2.479,0.00017917449561378964,0.3498452012383901,6,0.0014249116643621075,0.020821591715246623,0.04600285578101759,0
40,4.105,0.0010299832591514273,0.39270199826238056,7,0.0022502833845086567,0.04449186392943482,0.04724741231679537,123
41,1.197,3.2703464605040255e-06,0.24498644986449863,3,0.0016716683390132108,0.00018217361889958847,0.04530108897735773,0
42,1.279,1.9622078763024155e-05,0.24511930585683298,3,0.0019894053670527546,0.00019592481585922023,0.045529877804617334,155
43,1.274,1.1446212611764088e-05,0.24511930585683298,3,0.0020557353449456007,0.0001885730144790077,0.045525334945114716,206
44,1.7,0.03865075738839551,0.3235504652827487,4,0.004743550564255997,0.004226177782064538,0.047588723739549144,237
45,1.202,3.2703464605040255e-06,0.24498644986449863,3,0.0017041717919248234,0.0001813972680840052,0.045298818140508665,142
46,1.374,3.2703464605040255e-06,0.31853417899929526,4,0.0013443681530727473,0.004305591023171766,0.04532262585218274,43
47,1.429,1.480327280417542e-05,0.32011331444759206,4,0.0013156111780445892,0.004382630266749321,0.045325004450208956,0
48,2.764,0.007047561363347987,0.4072072072072072,4,0.0026945414205853373,0.019343650327323055,0.04673026010920067,227
49,6.721,0.024185732530403257,0.4645426515930113,10,0.005410289329518374,0.0852235895737459,0.05087228522469161,234
50,1.438,3.2703464605040255e-06,0.31853417899929526,4,0.0013502655649288218,0.004302691607299386,0.045322625595258834,154
51,2.444,3.028185091642894e-05,0.3578780680918448,6,0.001713168518236414,0.01982952052127219,0.04614891552305446,143
52,3.08,0.00023678440823845525,0.4162062615101289,6,0.0017021718396291023,0.0363071699945245,0.0464777983777376,28
53,2.558,0.00018517523274463331,0.41316270566727603,5,0.0013179512804132295,0.02781781226152999,0.04594019100059981,0
54,3.531,0.0007101333299807532,0.4256120527306968,6,0.0020687531480503363,0.04160941166699227,0.04699317946702202,42
55,4.664,0.0015290937292022114,0.43419788664745435,7,0.0028619443854085496,0.06136475655728166,0.048161613703464716,211
56,4.01,0.0007517927521875788,0.4333652924256951,6,0.0020740310236265417,0.053890180609293646,0.04719374197503253,27
57,4.473,0.0010305542316058494,0.4256120527306968,6,0.0025439697428748177,0.04755438889509037,0.04751945592093552,214
58,2.281,8.99345276638607e-06,0.35590551181102364,5,0.0013186379324277668,0.01607638998311046,0.0456788753438326,26
59,2.477,0.0002551610831968581,0.41316270566727603,5,0.0013298877127799103,0.027780163426484976,0.04594136055756176,0
60,3.623,0.0015373925393711108,0.4244131455399061,6,0.002382443398596331,0.03906988080763096,0.04718174948474336,217
61,1.649,0.0004459042615540114,0.32494608195542773,4,0.0017794129920967283,0.006406268109164399,0.04580072468157885,182
62,3.62,0.00023174963510659465,0.42203548085901027,6,0.0016559037508122932,0.03922792203799054,0.046523444834998776,0
63,7.239,0.01886114850444204,0.4506480558325025,10,0.007488760847375589,0.09175873721750577,0.05332272139739064,240
64,3.185,0.0004632335265821005,0.3570300157977883,7,0.0026296791355374465,0.02769705401177645,0.047357069748189075,193
65,11.527,0.039123118412449094,0.5022222222222222,10,0.012993585993795902,0.18014181554011718,0.06066413948474173,247
66,2.832,6.497534802383416e-05,0.4142988084326306,5,0.0013150986868864774,0.02924281665010045,0.045949301601429675,80
67,10.481,0.07488619411697003,0.5039018952062431,10,0.013806823691444706,0.15259994925900058,0.06055048625771153,252
68,11.361,0.032735442135632585,0.49834619625137816,10,0.012907372585340391,0.17042723950500982,0.05989756394957046,248
69,3.976,2.577274942533985e-05,0.3896551724137931,7,0.0016203533205087176,0.04198223896521539,0.0464906876217803,0
70,5.94,0.0014841709240073606,0.444007858546169,9,0.003155557751206059,0.07328133390896809,0.048731830321861985,203
71,5.856,0.005606747600478327,0.44664031620553357,8,0.004528053127698318,0.07236941647740458,0.050037970838639076,232
72,4.313,0.001756768188210327,0.4329501915708812,7,0.0025485814020816695,0.04977634921555915,0.047366277458939614,167
73,1.192,0.0,0.24485373781148428,3,0.0013327620736829247,0.00017472510288734844,0.045073439588744824,0
74,1.446,3.982127748966666e-05,0.3212508884150675,4,0.0013489922511115522,0.004303468922293099,0.0453249527773392,0
