Node_ID,K-Shell
45,5
93,5
12,5
16,5
46,5
1,5
51,5
26,5
83,5
2,5
42,5
54,5
20,5
97,5
106,5
8,5
4,5
58,5
21,5
86,5
43,5
17,5
72,5
104,5
49,5
78,5
39,5
55,5
94,5
3,5
19,5
112,5
69,5
101,5
28,5
103,5
63,5
79,5
74,5
109,5
22,5
91,5
10,5
35,5
13,5
92,5
60,5
53,5
36,5
89,5
41,5
31,5
47,5
68,5
33,5
84,5
34,5
15,5
57,5
87,5
81,5
11,5
23,5
32,5
100,5
29,5
38,5
24,5
25,5
30,5
98,5
66,5
5,5
75,5
67,5
71,5
44,5
9,5
40,5
102,5
18,5
77,5
14,5
6,5
73,5
27,5
99,5
37,5
48,5
82,5
85,5
95,4
107,4
80,4
64,4
117,4
56,4
76,4
105,4
70,4
59,4
62,4
111,4
65,4
108,4
110,3
52,3
96,3
116,3
115,3
113,3
50,2
114,2
88,2
7,2
90,2
61,2
