Node_ID,SIR_Score
15,47.472
40,43.819
12,43.686
74,42.794
23,42.689
11,42.614
13,41.149
69,40.176
16,39.961
10,39.578
9,38.731
29,38.075
63,37.745
5,37.58
47,37.001
54,36.36
4,35.64
45,35.024
35,35.004
14,34.537
75,34.061
28,33.827
55,33.811
89,33.525
41,33.011
17,32.711
33,32.663
36,32.659
43,32.498
26,32.425
22,32.338
18,32.206
92,32.085
60,32.032
32,31.951
98,31.947
19,31.689
3,31.578
25,31.564
46,31.545
87,31.072
97,31.018
73,30.814
101,30.681
67,30.644
84,30.304
38,30.197
109,29.892
100,29.791
31,29.606
37,29.271
94,28.995
30,28.964
78,28.721
24,28.716
2,28.664
49,28.583
53,28.305
27,27.928
93,27.781
91,27.77
34,27.554
42,27.525
72,27.371
103,27.36
86,27.168
102,27.053
21,26.56
51,26.265
48,26.264
8,26.253
66,25.978
39,25.935
57,25.459
44,25.124
20,24.682
79,24.176
108,24.075
77,23.893
71,23.828
68,23.559
81,23.18
80,23.065
65,23.027
6,22.938
59,22.882
82,22.776
85,22.577
83,22.084
1,21.962
106,21.784
112,21.218
111,20.68
104,20.587
58,20.498
99,20.005
105,19.932
96,19.853
115,19.661
70,19.169
107,18.763
62,18.379
76,17.965
116,17.732
56,16.64
64,15.296
95,14.87
117,14.724
52,14.004
113,13.754
110,12.231
90,10.6
50,9.974
114,9.653
61,9.412
7,8.852
88,8.349
