Node_ID,K-Shell
31,5
70,5
233,5
16,5
143,5
62,5
137,5
33,5
405,5
230,5
48,5
104,5
119,5
53,5
36,5
113,5
77,5
86,5
1,5
110,5
187,5
22,5
76,5
240,5
219,5
34,5
153,5
150,5
8,5
9,5
66,5
164,5
239,5
181,5
10,5
26,5
160,5
2,5
148,5
4,5
103,5
171,5
29,5
11,5
112,5
126,5
229,5
202,5
88,5
241,5
73,5
108,5
170,5
220,5
7,5
75,5
18,5
40,5
198,5
196,5
44,5
59,5
144,5
243,5
79,5
55,5
39,5
80,5
90,5
21,5
118,5
180,5
186,5
15,5
87,5
38,5
12,5
185,5
28,5
221,5
234,5
193,5
61,5
158,5
106,5
30,5
242,5
81,5
6,4
14,4
19,4
46,4
78,4
134,4
20,4
3,4
159,4
206,4
163,4
51,4
35,4
67,4
64,4
97,4
176,4
201,4
174,4
45,4
156,4
58,4
13,4
27,4
235,4
133,4
199,4
63,4
251,4
109,4
183,4
25,4
139,4
5,4
245,4
68,4
178,4
47,4
215,4
165,4
177,4
200,4
91,3
94,3
130,3
72,3
57,3
95,3
50,3
195,3
371,3
207,3
131,3
216,3
24,3
225,3
362,3
154,3
414,3
117,3
41,3
42,3
246,3
82,3
132,3
135,3
204,3
123,3
162,3
197,3
236,3
115,3
214,3
127,3
218,3
253,3
188,3
223,3
136,3
74,3
361,3
102,3
192,3
191,3
85,3
69,3
32,3
121,3
227,3
128,3
224,3
168,3
146,3
54,3
161,3
213,3
254,3
23,3
107,3
249,3
184,3
52,3
182,3
232,3
194,3
84,3
205,3
252,3
37,3
151,3
145,3
289,2
325,2
157,2
351,2
422,2
124,2
155,2
209,2
208,2
231,2
114,2
98,2
190,2
248,2
138,2
365,2
284,2
189,2
512,2
172,2
285,2
116,2
324,2
317,2
141,2
89,2
288,2
169,2
482,2
381,2
211,2
175,2
413,2
212,2
203,2
257,2
238,2
210,2
149,2
360,2
367,2
270,2
276,2
166,2
390,2
501,2
363,2
142,2
465,2
337,2
140,2
471,2
250,2
65,2
244,2
217,2
296,2
17,2
420,2
348,2
521,2
152,2
147,2
101,2
122,2
120,2
297,2
290,2
49,2
173,2
237,2
100,2
99,2
111,2
366,2
92,2
60,2
93,2
129,2
125,2
43,2
179,2
222,2
105,2
287,2
56,2
71,2
96,2
83,2
247,2
539,2
282,2
424,1
330,1
529,1
432,1
373,1
256,1
408,1
295,1
446,1
580,1
347,1
398,1
426,1
388,1
517,1
456,1
454,1
444,1
545,1
259,1
607,1
326,1
534,1
567,1
269,1
274,1
358,1
350,1
548,1
439,1
481,1
504,1
488,1
559,1
588,1
262,1
553,1
601,1
585,1
291,1
595,1
293,1
606,1
406,1
498,1
286,1
562,1
320,1
339,1
522,1
462,1
279,1
524,1
334,1
321,1
354,1
309,1
410,1
570,1
614,1
419,1
387,1
441,1
467,1
495,1
263,1
307,1
515,1
550,1
449,1
336,1
343,1
364,1
508,1
510,1
267,1
402,1
391,1
557,1
265,1
370,1
582,1
345,1
599,1
611,1
531,1
519,1
394,1
596,1
484,1
416,1
574,1
555,1
527,1
280,1
477,1
400,1
469,1
389,1
329,1
341,1
609,1
542,1
464,1
349,1
396,1
569,1
315,1
385,1
428,1
613,1
375,1
474,1
536,1
303,1
399,1
554,1
458,1
514,1
610,1
493,1
434,1
378,1
340,1
305,1
584,1
475,1
551,1
382,1
463,1
565,1
448,1
438,1
479,1
592,1
506,1
487,1
260,1
520,1
332,1
497,1
429,1
383,1
507,1
575,1
533,1
526,1
573,1
546,1
496,1
294,1
368,1
594,1
593,1
386,1
319,1
277,1
505,1
377,1
395,1
380,1
372,1
516,1
568,1
494,1
544,1
431,1
535,1
302,1
271,1
440,1
485,1
417,1
450,1
445,1
314,1
576,1
453,1
359,1
530,1
538,1
409,1
459,1
316,1
255,1
460,1
338,1
407,1
491,1
423,1
392,1
549,1
430,1
404,1
489,1
323,1
311,1
486,1
503,1
275,1
566,1
558,1
547,1
437,1
272,1
397,1
560,1
356,1
499,1
518,1
415,1
298,1
261,1
457,1
473,1
472,1
292,1
268,1
443,1
602,1
300,1
612,1
586,1
528,1
455,1
502,1
331,1
451,1
466,1
578,1
352,1
412,1
541,1
304,1
299,1
344,1
561,1
384,1
600,1
376,1
581,1
571,1
226,1
369,1
532,1
436,1
283,1
608,1
490,1
447,1
500,1
442,1
598,1
577,1
605,1
604,1
511,1
310,1
346,1
313,1
452,1
301,1
258,1
312,1
328,1
264,1
273,1
543,1
421,1
540,1
470,1
266,1
427,1
552,1
587,1
281,1
483,1
308,1
335,1
597,1
393,1
327,1
476,1
480,1
579,1
564,1
589,1
556,1
537,1
433,1
318,1
509,1
333,1
461,1
525,1
403,1
492,1
322,1
401,1
591,1
353,1
228,1
572,1
355,1
523,1
513,1
425,1
278,1
306,1
603,1
411,1
418,1
590,1
342,1
374,1
379,1
478,1
357,1
167,1
563,1
583,1
468,1
435,1
