Node_ID,SIR_Score
18,25.662
16,15.649
106,15.483
15,14.381
39,11.734
38,11.614
53,11.188
87,10.991
36,10.801
48,10.33
243,10.197
233,9.986
34,9.935
21,9.641
242,9.598
22,8.731
30,8.629
33,8.563
44,8.532
12,8.456
239,7.94
113,7.875
4,7.827
185,7.655
112,7.547
29,7.517
119,7.48
28,7.378
137,7.216
240,7.204
80,7.189
153,7.034
108,7.028
158,6.99
75,6.766
66,6.699
110,6.674
220,6.644
186,6.616
171,6.516
181,6.468
70,6.416
178,6.384
59,6.339
19,6.263
76,6.17
9,6.152
202,6.137
81,6.042
164,6.021
144,6.004
139,5.997
31,5.996
77,5.984
79,5.937
219,5.911
104,5.823
196,5.816
126,5.739
90,5.692
73,5.666
88,5.665
234,5.655
1,5.623
118,5.621
199,5.58
180,5.572
246,5.522
86,5.509
103,5.496
160,5.441
187,5.394
55,5.369
62,5.357
47,5.329
229,5.316
26,5.227
109,5.208
40,5.196
107,5.176
254,5.11
252,5.059
159,5.016
135,4.981
143,4.944
11,4.912
198,4.892
68,4.876
241,4.865
8,4.821
206,4.821
232,4.788
156,4.781
225,4.77
163,4.766
235,4.739
51,4.737
131,4.726
64,4.72
46,4.706
146,4.693
10,4.692
193,4.682
67,4.674
215,4.669
205,4.653
230,4.636
213,4.631
194,4.622
117,4.61
58,4.543
61,4.534
221,4.512
6,4.494
174,4.478
251,4.439
43,4.421
253,4.41
5,4.398
102,4.382
197,4.366
14,4.349
224,4.303
7,4.302
78,4.264
207,4.247
161,4.21
133,4.204
209,4.129
200,4.118
223,4.098
94,4.093
236,4.09
32,4.09
165,4.08
63,4.078
120,4.067
111,4.061
182,4.038
237,4.025
45,4.019
238,4.008
20,3.993
25,3.978
147,3.973
188,3.971
170,3.966
177,3.965
201,3.959
245,3.942
127,3.917
99,3.877
211,3.843
128,3.841
210,3.825
13,3.806
195,3.803
97,3.801
157,3.799
132,3.785
89,3.781
214,3.733
140,3.701
116,3.695
176,3.625
23,3.613
250,3.598
85,3.597
93,3.568
92,3.564
183,3.547
72,3.541
17,3.538
191,3.514
150,3.509
141,3.506
65,3.503
82,3.501
152,3.492
100,3.467
114,3.462
218,3.458
35,3.453
168,3.416
49,3.393
154,3.352
69,3.339
175,3.31
54,3.298
145,3.298
166,3.285
56,3.264
192,3.239
41,3.232
42,3.207
96,3.167
95,3.149
148,3.139
249,3.139
179,3.125
27,3.092
84,3.091
125,3.079
227,3.066
284,2.996
184,2.989
130,2.934
172,2.931
231,2.924
74,2.91
247,2.896
244,2.863
122,2.816
3,2.786
216,2.767
212,2.76
285,2.752
276,2.751
121,2.733
52,2.72
123,2.701
248,2.696
142,2.683
256,2.659
98,2.637
129,2.623
208,2.621
257,2.611
115,2.609
24,2.602
37,2.58
136,2.575
134,2.564
190,2.544
2,2.533
255,2.519
50,2.509
270,2.477
274,2.471
272,2.469
57,2.464
282,2.443
279,2.435
288,2.418
271,2.413
521,2.396
173,2.375
217,2.367
105,2.363
351,2.333
361,2.332
204,2.331
280,2.33
405,2.324
222,2.323
149,2.323
60,2.305
287,2.305
273,2.303
277,2.303
189,2.284
512,2.283
91,2.281
286,2.276
261,2.265
265,2.248
269,2.24
275,2.212
371,2.201
71,2.191
325,2.186
258,2.183
101,2.179
482,2.175
278,2.142
266,2.141
268,2.14
264,2.127
138,2.127
124,2.103
263,2.063
281,2.039
283,2.031
262,2.022
362,2.014
83,2.004
414,1.997
259,1.983
260,1.968
155,1.955
169,1.941
598,1.935
381,1.934
162,1.923
203,1.914
367,1.891
290,1.883
296,1.876
337,1.866
297,1.851
151,1.845
329,1.84
471,1.837
334,1.828
599,1.825
577,1.812
511,1.811
360,1.806
366,1.805
592,1.799
501,1.799
411,1.784
330,1.779
363,1.77
597,1.77
442,1.765
594,1.759
348,1.75
350,1.744
331,1.739
289,1.726
382,1.702
324,1.701
267,1.7
335,1.698
376,1.687
581,1.682
600,1.674
529,1.673
444,1.662
576,1.658
515,1.649
601,1.646
430,1.645
575,1.64
333,1.639
377,1.632
321,1.631
317,1.63
602,1.628
314,1.628
339,1.625
611,1.622
510,1.618
539,1.616
320,1.608
596,1.606
522,1.604
387,1.6
431,1.599
433,1.597
593,1.595
422,1.593
585,1.593
591,1.593
349,1.592
428,1.591
344,1.589
338,1.587
587,1.585
346,1.583
413,1.583
496,1.581
580,1.579
474,1.575
459,1.574
441,1.571
525,1.57
343,1.569
410,1.568
526,1.565
445,1.565
583,1.565
582,1.563
432,1.563
390,1.563
538,1.56
332,1.56
475,1.558
375,1.557
380,1.55
435,1.549
509,1.547
520,1.546
434,1.545
316,1.544
595,1.542
478,1.54
322,1.537
352,1.537
301,1.535
407,1.532
319,1.531
545,1.525
409,1.524
436,1.523
584,1.521
570,1.518
613,1.516
488,1.511
429,1.51
564,1.51
340,1.508
507,1.505
347,1.505
342,1.504
505,1.503
503,1.502
590,1.5
485,1.499
438,1.499
365,1.498
374,1.493
498,1.492
468,1.492
518,1.491
543,1.491
499,1.488
439,1.487
353,1.486
508,1.485
604,1.484
477,1.48
506,1.477
315,1.477
492,1.474
586,1.473
519,1.473
490,1.466
486,1.466
483,1.464
504,1.458
588,1.457
513,1.455
476,1.454
528,1.453
167,1.452
458,1.451
516,1.451
426,1.448
487,1.444
559,1.443
443,1.443
345,1.442
408,1.441
533,1.439
226,1.437
524,1.436
552,1.434
473,1.432
541,1.431
437,1.429
391,1.425
323,1.421
566,1.42
454,1.42
398,1.419
464,1.419
399,1.418
549,1.418
565,1.416
440,1.413
336,1.41
540,1.41
424,1.41
463,1.41
379,1.409
328,1.407
484,1.405
455,1.401
551,1.401
307,1.4
561,1.4
578,1.4
489,1.399
547,1.394
612,1.393
555,1.393
537,1.392
295,1.392
535,1.392
423,1.39
470,1.388
456,1.387
386,1.387
568,1.387
550,1.381
491,1.379
383,1.378
298,1.376
420,1.376
460,1.374
542,1.373
300,1.373
500,1.372
527,1.372
448,1.372
493,1.372
472,1.37
299,1.368
558,1.368
378,1.364
228,1.363
609,1.363
394,1.361
523,1.36
318,1.359
494,1.358
449,1.358
554,1.357
453,1.356
309,1.356
514,1.352
569,1.347
402,1.347
544,1.347
