Node_ID,K-Shell
1515,14
1359,14
1423,14
1527,14
1426,14
1493,14
1520,14
1541,14
1261,14
1542,14
63,14
1270,14
1363,14
1444,14
1501,14
1285,14
1304,14
55,14
555,14
1160,14
1307,14
285,14
1446,14
30,14
1567,14
1451,14
1265,14
1375,14
1393,13
1319,13
223,13
433,13
153,13
1473,13
894,13
1246,13
1517,13
1292,13
1378,13
1557,13
1301,13
53,13
1540,13
1290,13
1528,13
1464,13
658,13
106,13
334,12
1328,12
1314,12
1309,12
1281,12
1340,12
1358,12
1445,12
1437,12
1436,12
234,12
1430,12
1253,12
245,12
1465,12
1262,12
1397,12
1279,12
170,12
711,12
726,12
1497,12
460,12
626,12
1498,12
739,12
632,12
714,12
1489,12
1509,12
1539,12
451,12
90,12
1519,12
115,12
1495,12
431,12
1512,12
1550,12
1572,12
786,12
586,12
1477,12
151,12
838,12
545,12
25,12
536,12
477,11
479,11
1380,11
501,11
322,11
571,11
3,11
394,11
869,11
909,11
1511,11
1067,11
734,11
1255,11
1419,11
1484,11
1442,11
400,11
1311,10
1105,10
1321,10
416,10
1273,10
424,10
1271,10
1299,10
324,10
1050,10
635,10
1063,10
502,10
1383,10
1508,10
265,10
62,10
1475,10
1343,10
1371,10
1396,10
41,10
1566,10
205,10
1470,10
1485,10
1327,10
102,10
889,9
1320,9
295,9
1466,9
404,9
1457,9
207,9
1204,9
405,9
1503,9
378,9
1502,9
1249,9
653,9
600,9
1553,9
569,9
472,9
521,9
520,9
517,9
1431,9
1351,9
1429,9
242,9
1361,9
1331,9
330,9
287,9
1308,9
1315,9
1278,9
1387,9
1384,9
1390,9
1316,9
1402,9
543,8
1242,8
1291,8
1506,8
1248,8
113,8
1244,8
1296,8
1486,8
38,8
272,8
1525,8
68,8
112,8
463,8
1389,8
1218,8
1433,8
1481,8
789,8
1480,8
617,8
1407,8
302,8
1277,8
57,8
1468,8
1467,8
1275,8
199,8
1545,8
241,7
306,7
1333,7
541,7
1560,7
1568,7
557,7
1370,7
1338,7
622,7
1523,7
1365,7
657,7
666,7
1374,7
1377,7
771,7
772,7
1474,7
1469,7
1260,7
1252,7
1058,7
1576,7
116,7
157,7
351,7
155,7
286,7
288,7
388,7
40,7
434,7
382,7
85,7
114,7
375,7
220,7
7,7
82,7
731,6
733,6
326,6
49,6
393,6
1472,6
188,6
119,6
1462,6
554,6
1460,6
204,6
1247,6
195,6
209,6
1399,6
93,6
475,6
1337,6
71,6
1570,6
26,6
793,6
31,6
6,6
493,6
338,6
1558,6
66,6
891,6
915,6
523,6
1403,6
79,6
996,6
1532,6
1305,6
406,6
1313,6
52,6
445,6
440,5
680,5
43,5
1295,5
689,5
352,5
1339,5
58,5
696,5
1272,5
850,5
702,5
323,5
858,5
874,5
409,5
911,5
760,5
755,5
676,5
1053,5
121,5
348,5
357,5
402,5
735,5
724,5
723,5
722,5
828,5
721,5
717,5
539,5
1344,5
264,5
198,5
227,5
1398,5
1416,5
564,5
1438,5
469,5
1450,5
1452,5
552,5
476,5
120,5
522,5
1524,5
508,5
73,5
495,5
500,5
490,5
592,5
637,5
1376,5
1367,5
625,5
258,5
1386,5
1388,5
596,5
608,5
593,5
594,5
1518,4
95,4
86,4
1522,4
1350,4
87,4
978,4
944,4
938,4
423,4
937,4
262,4
936,4
19,4
1368,4
376,4
935,4
1514,4
934,4
924,4
933,4
1543,4
1544,4
1549,4
1561,4
899,4
284,4
70,4
233,4
1373,4
107,4
1284,4
345,4
344,4
1276,4
226,4
1297,4
1298,4
1424,4
618,4
1266,4
1077,4
1256,4
118,4
1334,4
339,4
100,4
1355,4
1199,4
158,4
1479,4
80,4
146,4
89,4
1499,4
144,4
1294,4
1189,4
260,4
482,4
677,4
514,4
105,4
610,4
751,4
712,4
575,4
719,4
478,4
788,4
467,4
787,4
99,4
531,4
687,4
738,4
535,4
513,4
766,4
700,4
447,4
441,4
498,4
540,4
474,4
443,4
547,4
667,4
453,3
75,3
211,3
683,3
729,3
217,3
156,3
384,3
629,3
685,3
35,3
194,3
562,3
109,3
327,3
403,3
1288,3
77,3
798,3
1293,3
835,3
671,3
1428,3
607,3
363,3
1259,3
167,3
359,3
365,3
1257,3
1258,3
707,3
369,3
37,3
232,3
837,3
1182,3
461,3
248,3
34,3
1395,3
576,3
688,3
1223,3
415,3
396,3
720,3
737,3
341,3
1263,3
197,3
103,3
385,3
932,3
1565,3
492,3
529,3
1552,3
678,3
191,3
340,3
888,3
292,3
1538,3
885,3
309,3
640,3
873,3
289,3
1310,3
519,3
422,3
391,3
1496,3
42,3
46,3
257,3
65,3
796,3
740,3
1302,3
985,3
504,3
979,3
148,3
1342,3
1303,3
316,3
138,3
1487,3
962,3
1488,3
136,3
754,3
1329,2
39,2
644,2
1330,2
421,2
1335,2
1345,2
1372,2
457,2
263,2
279,2
730,2
275,2
1366,2
1346,2
1347,2
266,2
1336,2
256,2
1352,2
631,2
420,2
222,2
255,2
1516,2
537,2
538,2
1476,2
152,2
1483,2
273,2
64,2
131,2
1507,2
528,2
527,2
1510,2
18,2
175,2
370,2
890,2
516,2
81,2
511,2
507,2
67,2
494,2
1563,2
1571,2
1573,2
1575,2
1471,2
180,2
1382,2
203,2
254,2
252,2
615,2
228,2
597,2
591,2
466,2
1405,2
225,2
1408,2
206,2
1415,2
1326,2
546,2
387,2
212,2
9,2
556,2
14,2
189,2
1447,2
1448,2
470,2
1453,2
1458,2
544,2
609,2
271,2
1325,2
1228,2
389,2
583,2
855,2
851,2
756,2
1227,2
840,2
839,2
693,2
1239,2
1240,2
715,2
1250,2
435,2
1021,2
613,2
411,2
410,2
781,2
1123,2
987,2
977,2
742,2
1020,2
970,2
949,2
764,2
414,2
769,2
430,2
929,2
927,2
417,2
336,2
1113,2
790,2
267,2
310,2
1282,2
792,2
69,2
328,2
154,2
308,2
1312,2
305,2
1286,2
661,2
304,2
1318,2
269,2
349,2
303,2
912,2
829,2
84,1
1505,1
485,1
896,1
21,1
884,1
867,1
429,1
623,1
1406,1
859,1
15,1
1513,1
313,1
1564,1
913,1
752,1
980,1
1574,1
830,1
140,1
150,1
925,1
865,1
750,1
758,1
127,1
425,1
12,1
125,1
1251,1
526,1
727,1
408,1
200,1
795,1
458,1
1103,1
630,1
1530,1
736,1
654,1
401,1
5,1
497,1
61,1
616,1
1546,1
496,1
60,1
380,1
290,1
643,1
412,1
1555,1
32,1
489,1
147,1
360,1
342,1
857,1
503,1
1085,1
355,1
518,1
674,1
464,1
1080,1
1029,1
846,1
383,1
1078,1
813,1
1526,1
601,1
367,1
1529,1
1015,1
1012,1
1491,1
1534,1
986,1
992,1
663,1
505,1
1535,1
748,1
993,1
701,1
343,1
134,1
459,1
361,1
182,1
413,1
371,1
196,1
1238,1
23,1
238,1
325,1
995,1
585,1
280,1
565,1
589,1
703,1
582,1
577,1
224,1
1186,1
1400,1
111,1
437,1
130,1
259,1
699,1
297,1
299,1
636,1
641,1
659,1
1300,1
276,1
825,1
914,1
59,1
320,1
331,1
1289,1
45,1
1356,1
1364,1
1283,1
524,1
177,1
785,1
549,1
558,1
1317,1
1409,1
1417,1
392,1
1443,1
1059,1
236,1
201,1
123,1
92,1
165,1
160,1
347,1
20,1
1056,1
337,1
1459,1
294,1
8,1
725,1
681,1
862,1
1111,1
183,1
1038,1
1037,1
172,1
542,1
560,1
1079,1
971,1
561,1
1420,1
1421,1
1191,1
1404,1
1410,1
1411,1
1414,1
1190,1
570,1
965,1
88,1
193,1
551,1
1132,1
1432,1
1125,1
1435,1
454,1
163,1
1035,1
1106,1
1090,1
1439,1
362,1
