Node_ID,SIR_Score
1363,72.496
1423,69.522
1520,64.522
1567,63.438
1160,62.123
285,61.06
30,59.51
1261,57.489
1541,56.363
1493,55.856
555,55.498
1515,55.13
1451,55.119
1359,52.749
1285,52.492
1375,51.242
1304,50.302
1307,49.862
1301,49.072
1501,48.964
1542,47.375
1446,46.738
1473,45.821
1464,45.582
63,45.449
106,44.682
838,44.485
55,42.444
1426,42.102
1270,41.505
1527,40.688
223,40.546
1517,40.409
1444,40.33
433,39.863
1319,39.597
658,39.492
1489,39.344
1557,38.51
153,38.175
714,37.61
1292,37.128
1397,37.068
1265,36.709
1465,36.029
626,35.909
1528,35.734
1290,35.651
1309,35.443
739,35.259
894,35.158
1246,34.518
1262,34.271
25,33.431
115,33.222
1497,32.851
632,32.51
1328,32.477
431,32.156
1498,32.098
1512,32.089
1253,31.52
545,31.414
1550,31.251
1378,31.078
1314,30.947
90,30.843
1279,30.807
53,30.509
151,30.46
586,29.837
1477,29.699
1445,28.746
1358,28.541
1540,28.213
1495,28.199
536,28.042
726,27.884
1519,27.865
1436,27.761
1419,27.479
1340,27.451
1393,27.245
1063,26.927
245,26.752
786,26.742
322,26.628
334,26.618
1572,26.379
1380,25.655
451,25.631
1442,25.401
460,25.341
170,25.261
869,25.245
1437,25.131
234,24.884
479,24.762
1281,24.492
1509,24.09
909,23.732
400,23.128
1311,22.817
1511,22.81
1539,22.707
3,22.228
711,22.117
477,21.988
1050,21.897
1387,21.878
1327,21.651
378,21.596
1430,21.586
1343,21.477
1067,21.399
1431,21.336
1470,21.009
1384,20.92
734,20.889
571,20.859
617,20.8
635,20.775
1291,20.735
394,20.719
102,20.461
416,20.328
1475,20.219
1484,20.049
1255,20.003
1273,19.945
265,19.939
569,19.901
1351,19.804
41,19.742
62,19.571
1249,19.55
501,19.411
1508,19.25
1299,19.231
521,19.19
1480,19.094
404,18.883
1402,18.768
1396,18.757
472,18.647
1371,18.593
1389,18.519
1321,18.487
1566,18.011
1485,17.898
1296,17.889
287,17.877
1248,17.833
1271,17.801
1308,17.731
272,17.629
324,17.625
295,17.6
1502,17.582
205,17.564
1503,17.272
1466,17.092
1315,17.072
1390,17.062
1331,17.015
1545,17.01
26,16.876
1058,16.771
789,16.762
424,16.679
1105,16.678
1433,16.573
502,16.458
600,16.437
1407,16.414
1244,16.26
1553,16.26
